U1_14RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
0,12.26.16 10:00 PM,6.5,636,#N/A,#N/A,0,0,0,0,#N/A,0,0,#N/A,0
1,12.27.16 12:00 AM,6.5,637,#N/A,#N/A,163,137,43,#N/A,#N/A,14,959,#N/A,#N/A
2,12.27.16 2:00 AM,6.5,638,846,12436,177,149,0,0,#N/A,14,891,104,#N/A
3,12.27.16 4:00 AM,6.5,638,846,12436,187,151,0,0,#N/A,14,898,104,#N/A
4,12.27.16 6:00 AM,6.5,638,846,12436,194,155,0,0,#N/A,14,912,104,#N/A
5,12.27.16 8:00 AM,6.5,639,846,12436,197,160,0,0,#N/A,14,918,104,#N/A
6,12.27.16 10:00 AM,6.5,639,846,12436,204,162,0,0,#N/A,14,925,104,#N/A
7,12.27.16 12:00 PM,6.5,639,846,12436,211,163,0,0,#N/A,14,939,104,#N/A
8,12.27.16 2:00 PM,6.5,639,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
9,12.27.16 4:00 PM,8.5,639,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
10,12.27.16 6:00 PM,8.5,618,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
11,12.27.16 8:00 PM,8.5,618,833,12245,259,190,0,0,#N/A,14,912,104,#N/A
12,12.27.16 10:00 PM,8.5,617,833,12245,211,180,0,0,#N/A,14,918,104,#N/A
13,12.28.16 12:00 AM,8.5,617,833,12245,#N/A,170,0,0,#N/A,14,929,104,#N/A
14,12.28.16 2:00 AM,8.5,617,833,12245,#N/A,155,0,0,#N/A,14,929,104,#N/A
15,12.28.16 4:00 AM,8.5,617,833,12245,#N/A,141,0,0,#N/A,14,929,104,#N/A
16,12.28.16 6:00 AM,8.5,617,833,12245,0,137,0,0,#N/A,14,929,104,#N/A
17,12.28.16 8:00 AM,8.5,617,833,12245,3,139,0,0,#N/A,14,929,104,#N/A
18,12.28.16 10:00 AM,9.4,604,826,12142,7,145,0,0,#N/A,13,935,104,#N/A
19,12.28.16 12:00 PM,9.4,604,826,12142,14,151,0,0,#N/A,13,952,104,#N/A
20,12.28.16 2:00 PM,9.4,603,826,12142,24,154,0,0,#N/A,13,912,104,#N/A
21,12.28.16 4:00 PM,9.4,603,825,12127,27,156,5,0,#N/A,13,918,104,#N/A
22,12.28.16 6:00 PM,9.4,604,825,12127,27,162,5,0,#N/A,15,925,104,#N/A
23,12.28.16 8:00 PM,9.4,603,825,12127,27,166,8,0,#N/A,13,925,104,#N/A
24,12.28.16 10:00 PM,9.4,603,825,12127,31,169,10,0,#N/A,13,925,104,#N/A
25,12.29.16 12:00 AM,9.4,604,824,12112.8,31,171,12,0,#N/A,13,932,104,#N/A
26,12.29.16 2:00 AM,9.4,603,824,12113,31,171,14,0,#N/A,13,932,104,#N/A
27,12.29.16 4:00 AM,9.4,603,824,12113,34,172,15,0,#N/A,12,932,104,#N/A
28,12.29.16 6:00 AM,9.4,603,824,12113,34,172,15,0,#N/A,12,932,104,#N/A
29,12.29.16 8:00 AM,9.4,603,824,12113,34,168,18,0,#N/A,12,939,104,#N/A
30,12.29.16 10:00 AM,9.4,603,824,12113,34,168,18,0,#N/A,12,939,104,#N/A
31,12.29.16 12:00 PM,9.4,603,824,12113,37,170,20,0,#N/A,11,939,104,#N/A
32,12.29.16 2:00 PM,9.4,603,824,12113,37,170,22,0,#N/A,11,942,104,#N/A
33,12.29.16 4:00 PM,9.4,603,824,12113,41,171,23,0,#N/A,11,942,104,#N/A
34,12.29.16 6:00 PM,9.4,603,824,12113,41,172,24,0,#N/A,11,942,104,#N/A
35,12.29.16 8:00 PM,10.2,593,820,12054,41,174,26,0,#N/A,11,952,104,#N/A
36,12.29.16 10:00 PM,10.2,593,819,12039,42,175,28,0,#N/A,11,956,104,#N/A
37,12.30.16 12:00 AM,10.2,592,819,12039,44,175,30,0,#N/A,11,956,104,#N/A
38,12.30.16 2:00 AM,10.2,592,819,12039,48,175,30,0,#N/A,11,956,104,#N/A
39,12.30.16 4:00 AM,10.2,592,819,12039,51,175,30,0,#N/A,11,963,104,#N/A
40,12.30.16 6:00 AM,10.2,592,819,12039,51,178,34,0,#N/A,11,963,104,#N/A
41,12.30.16 8:00 AM,10.2,592,819,12039,51,180,35,0,#N/A,11,966,104,#N/A
42,12.30.16 10:00 AM,10.2,#N/A,819,12039,51,182,36,0,#N/A,10,966,104,#N/A
43,12.30.16 12:00 PM,10.2,#N/A,818,12024,51,182,36,0,#N/A,10,966,104,#N/A
44,12.30.16 2:00 PM,10.2,#N/A,818,12024,51,182,36,0,#N/A,10,966,104,#N/A
45,12.30.16 4:00 PM,10.2,#N/A,818,12024,51,184,38,0,#N/A,10,973,104,#N/A
46,12.30.16 6:00 PM,10.2,#N/A,818,12024,51,186,40,0,#N/A,10,973,104,#N/A
47,12.30.16 8:00 PM,10.2,#N/A,818,12024,51,187,43,0,#N/A,10,969,104,#N/A
48,12.30.16 10:00 PM,12,589,817,12013,54,188,43,0,#N/A,10,969,104,#N/A
49,12.31.16 12:00 AM,12,588,817,12010,34,89,43,0,#N/A,10,969,104,#N/A
50,12.31.16 2:00 AM,12,586,817,12010,34,93,43,0,#N/A,9,969,104,#N/A
51,12.31.16 4:00 AM,12,584,814,11966,34,93,40,0,#N/A,9,969,104,#N/A
52,12.31.16 6:00 AM,12,582,814,11966,37,100,38,0,#N/A,9,973,104,#N/A
53,12.31.16 8:00 AM,12,580,813,11951,37,102,42,0,#N/A,9,973,104,#N/A
54,12.31.16 10:00 AM,12,577,811,11922,37,104,42,0,#N/A,9,980,104,#N/A
55,12.31.16 12:00 PM,12,577,811,11922,41,106,42,0,#N/A,9,986,104,#N/A
56,12.31.16 2:00 PM,12,577,811,11922,44,108,43,0,#N/A,9,986,104,#N/A
57,12.31.16 4:00 PM,12,575,810,11907,44,110,43,0,#N/A,8,993,104,#N/A
58,12.31.16 6:00 PM,12,573,809,11892,44,112,45,0,#N/A,8,993,105,#N/A
59,12.31.16 8:00 PM,12,572,808,11877,44,115,46,0,#N/A,8,993,105,#N/A
60,12.31.16 10:00 PM,12,570,807,11863,44,118,49,0,#N/A,8,997,105,#N/A
61,01.01.17 00:00,12,568,806,11848.2,44,120,50,0,#N/A,8,997,105,#N/A
62,01.01.17 02:00,12,567,806,11845,48,121,52,0,#N/A,8,997,105,#N/A
63,01.01.17 04:00,12,565,805,11835,51,122,53,0,#N/A,8,1000,105,#N/A
64,01.01.17 06:00,12,565,805,11833,51,122,53,0,#N/A,8,1000,103,#N/A
65,01.01.17 08:00,12,565,805,11831,51,125,53,0,#N/A,7,1007,105,#N/A
66,01.01.17 10:00,12,565,805,11831,54,127,57,0,#N/A,7,973,105,#N/A
67,01.01.17 12:00,12,564,805,11828,54,129,59,0,#N/A,7,973,105,#N/A
68,01.01.17 14:00,12,564,805,11827,54,130,60,0,#N/A,7,973,105,#N/A
69,01.01.17 16:00,12,564,805,11826,54,130,60,0,#N/A,7,973,105,#N/A
70,01.01.17 18:00,12,564,805,11825,54,130,60,0,#N/A,6,973,105,#N/A
71,01.01.17 20:00,12,564,805,11823,54,130,61,0,#N/A,6,973,105,#N/A
72,01.01.17 22:00,12,564,804,11822,54,130,62,0,#N/A,6,973,105,#N/A
73,01.02.17 00:00,12,564,804,11821,54,131,64,0,#N/A,6,976,105,#N/A
74,01.02.17 02:00,12,564,804,11820,58,131,64,0,#N/A,6,976,105,#N/A
75,01.02.17 04:00,12,564,804,11818,58,132,64,0,#N/A,6,976,105,#N/A
76,01.02.17 06:00,12,564,804,11817,58,132,64,0,#N/A,6,976,105,#N/A
77,01.02.17 08:00,12,564,804,11816,58,133,65,0,#N/A,6,976,105,#N/A
78,01.02.17 10:00,12,564,804,11815,58,134,66,0,#N/A,5,976,105,#N/A
79,01.02.17 12:00,12,564,804,11814,58,135,66,0,#N/A,5,976,105,#N/A
80,01.02.17 14:00,12,562,803,11805,58,135,66,0,#N/A,5,976,105,#N/A
81,01.02.17 16:00,12,561,803,11794,58,135,66,0,#N/A,5,976,105,#N/A
82,01.02.17 18:00,12,561,802,11786,58,135,67,0,#N/A,5,976,105,#N/A
83,01.02.17 20:00,12,559,801,11778,58,135,69,0,#N/A,5,976,105,#N/A
84,01.02.17 22:00,12,558,801,11771,61,135,70,0,#N/A,5,976,105,#N/A
85,01.03.17 00:00,12,558,801,11770,61,135,71,0,#N/A,5,976,105,#N/A
86,01.03.17 02:00,12,558,801,11768,61,135,71,0,#N/A,5,980,105,#N/A
87,01.03.17 04:00,12,558,801,11768,61,137,72,0,#N/A,5,980,105,#N/A
88,01.03.17 06:00,12,558,801,11767,61,137,73,0,#N/A,5,980,105,#N/A
89,01.03.17 08:00,12,558,801,11765,61,137,73,0,#N/A,4,980,105,#N/A
90,01.03.17 10:00,12,558,801,11765,61,133,0,0,#N/A,4,980,105,#N/A
91,01.03.17 12:00,12,558,800,11764,61,120,8,0,#N/A,4,980,105,#N/A
92,01.03.17 14:00,12,558,800,11763,54,80,6,0,#N/A,4,980,105,#N/A
93,01.03.17 16:00,12,557,800,11762,0,82,8,0,#N/A,4,980,105,#N/A
94,01.03.17 18:00,12,557,800,11761,0,82,11,0,#N/A,4,980,105,#N/A
95,01.03.17 20:00,12,557,800,11761,0,82,11,0,#N/A,4,980,105,#N/A
96,01.03.17 22:00,12,557,800,11761,0,82,11,0,#N/A,4,980,105,#N/A
97,01.04.17 00:00,12,557,800,11759,7,90,15,0,#N/A,6,980,105,#N/A
98,01.04.17 02:00,12,557,800,11758,10,88,17,0,#N/A,5,976,105,#N/A
99,01.04.17 04:00,12,557,800,11757,10,89,19,0,#N/A,4,973,105,#N/A
100,01.04.17 06:00,12,557,800,11757,10,89,19,0,#N/A,4,973,105,#N/A
101,01.04.17 08:00,12,557,800,11756,7,90,20,0,#N/A,4,966,105,#N/A
102,01.04.17 10:00,12,557,800,11755,7,90,21,0,#N/A,4,966,105,#N/A
103,01.04.17 12:00,12,557,800,11752,7,91,22,0,#N/A,3,966,105,#N/A
104,01.04.17 14:00,12,557,800,11752,7,93,23,0,#N/A,3,966,105,#N/A
105,01.04.17 16:00,12,557,800,11753,7,94,24,0,#N/A,3,966,105,#N/A
106,01.04.17 18:00,12,557,800,11752,7,96,25,0,#N/A,3,966,105,#N/A
107,01.04.17 20:00,12,557,800,11752,7,97,26,0,#N/A,3,891,105,#N/A
108,01.04.17 22:00,12,557,800,11751,10,98,26,0,#N/A,3,878,105,#N/A
109,01.05.17 00:00,12,557,800,11750,10,99,27,0,#N/A,3,878,105,#N/A
110,01.05.17 02:00,12,556,800,11750,10,100,27,0,#N/A,3,878,105,#N/A
111,01.05.17 04:00,12,556,799,11749,10,100,28,0,#N/A,3,878,105,#N/A
112,01.05.17 06:00,12,556,799,11748,10,100,28,0,#N/A,3,874,105,#N/A
113,01.05.17 08:00,12,556,799,11748,7,100,30,0,#N/A,3,871,105,#N/A
114,01.05.17 10:00,12,556,799,11747,7,100,30,0,#N/A,3,871,105,#N/A
115,01.05.17 12:00,12,556,799,11747,7,100,30,0,#N/A,3,871,105,#N/A
116,01.05.17 14:00,12,556,799,11746,7,100,31,0,#N/A,3,871,105,#N/A
117,01.05.17 16:00,12,556,799,11745,7,102,32,0,#N/A,2,884,105,#N/A
118,01.05.17 18:00,12,556,799,11745,7,103,33,0,#N/A,2,884,105,#N/A
119,01.05.17 20:00,12,556,799,11744,7,104,33,0,#N/A,2,884,105,#N/A
120,01.05.17 22:00,12,556,799,11744,10,104,34,0,#N/A,3,888,105,#N/A
121,01.06.17 00:00,12,556,799,11743,10,104,35,0,#N/A,2,884,105,#N/A
122,01.06.17 02:00,12,556,799,11742,10,105,35,0,#N/A,2,884,105,#N/A
123,01.06.17 04:00,12,556,799,11742,7,105,35,0,#N/A,2,884,105,#N/A
124,01.06.17 06:00,12,556,799,11741,7,105,35,0,#N/A,2,891,105,#N/A
125,01.06.17 08:00,12,556,799,11741,7,106,35,0,#N/A,2,884,105,#N/A
126,01.06.17 10:00,12,556,799,11740,7,106,36,0,#N/A,2,884,105,#N/A
127,01.06.17 12:00,12,556,799,11739,7,108,36,0,#N/A,2,884,105,#N/A
128,01.06.17 14:00,12,556,799,11739,7,108,36,0,#N/A,2,884,105,#N/A
129,01.06.17 16:00,12,556,799,11738,7,108,37,0,#N/A,2,891,105,#N/A
130,01.06.17 18:00,12,556,799,11738,7,108,37,0,#N/A,2,891,105,#N/A
131,01.06.17 20:00,12,556,799,11737,7,109,38,0,#N/A,2,891,105,#N/A
132,01.06.17 22:00,12,556,799,11737,7,109,38,0,#N/A,2,891,105,#N/A
133,01.07.17 00:00,12,556,799,11737,7,109,38,0,#N/A,2,895,105,#N/A
134,01.07.17 02:00,12,556,799,11736,10,104,35,0,#N/A,2,884,105,#N/A
135,01.07.17 04:00,12,556,799,11735,7,109,40,0,#N/A,2,895,105,#N/A
136,01.07.17 06:00,12,556,799,11735,7,109,40,0,#N/A,2,895,105,#N/A
137,01.07.17 08:00,12,555,798,11734,7,109,40,0,#N/A,2,884,105,#N/A
138,01.07.17 10:00,12,555,798,11734,7,109,40,0,#N/A,2,884,105,#N/A
139,01.07.17 12:00,12,555,798,11734,7,109,40,0,#N/A,2,884,105,#N/A
140,01.07.17 14:00,12,555,798,11733,7,109,41,0,#N/A,2,884,105,#N/A
141,01.07.17 16:00,12,555,798,11733,7,109,41,0,#N/A,2,884,105,#N/A
142,01.07.17 18:00,12,555,798,11733,7,109,41,0,#N/A,2,884,105,#N/A
143,01.07.17 20:00,12,555,798,11732,7,110,41,0,#N/A,1,898,105,#N/A
144,01.07.17 22:00,12,555,798,11731,7,110,41,0,#N/A,1,891,105,#N/A
145,01.08.17 00:00,12,555,798,11731,7,110,42,0,#N/A,1,895,105,#N/A
146,01.08.17 02:00,12,555,798,11730,7,110,43,0,#N/A,1,895,105,#N/A
147,01.08.17 04:00,12,555,798,11730,7,110,43,0,#N/A,1,895,105,#N/A
148,01.08.17 06:00,12,555,798,11729,7,110,43,0,#N/A,1,891,105,#N/A
149,01.08.17 08:00,12,555,798,11729,7,110,43,0,#N/A,1,891,105,#N/A
150,01.08.17 10:00,12,555,798,11728,7,110,43,0,#N/A,1,891,105,#N/A
151,01.08.17 12:00,12,555,798,11728,7,111,43,0,#N/A,1,891,105,#N/A
152,01.08.17 14:00,12,555,798,11728,7,111,44,0,#N/A,1,891,105,#N/A
153,01.08.17 16:00,12,555,798,11727,7,111,44,0,#N/A,1,891,105,#N/A
154,01.08.17 18:00,12,555,798,11727,7,111,44,0,#N/A,1,891,105,#N/A
155,01.08.17 20:00,12,555,798,11727,7,111,45,0,#N/A,1,895,105,#N/A
156,01.08.17 22:00,12,555,798,11726,7,111,45,0,#N/A,1,895,105,#N/A
157,01.09.17 00:00,12,555,798,11726,7,112,45,0,#N/A,1,895,105,#N/A
158,01.09.17 02:00,12,555,798,11725,7,112,45,0,#N/A,1,895,105,#N/A
159,01.09.17 04:00,12,555,798,11725,7,112,45,0,#N/A,1,895,105,#N/A
160,01.09.17 06:00,12,555,798,11724,7,112,45,0,#N/A,1,895,105,#N/A
161,01.09.17 08:00,12,555,798,11724,7,112,45,0,#N/A,1,891,105,#N/A
162,01.09.17 10:00,12,555,798,11724,7,112,46,0,#N/A,1,891,105,#N/A
163,01.09.17 12:00,12,555,798,11723,7,112,46,0,#N/A,1,891,105,#N/A
164,01.09.17 14:00,12,555,798,11723,7,112,46,0,#N/A,1,891,105,#N/A
165,01.09.17 16:00,12,555,798,11722,7,112,46,0,#N/A,1,891,105,#N/A
166,01.09.17 18:00,12,555,798,11722,7,112,46,0,#N/A,1,891,105,#N/A
167,01.09.17 20:00,12,555,798,11722,7,112,47,0,#N/A,1,891,105,#N/A
168,01.09.17 22:00,12,554,798,11721,7,112,47,0,#N/A,1,891,105,#N/A
169,01.10.17 00:00,12,554,798,11721,7,112,48,0,#N/A,1,891,105,#N/A
170,01.10.17 02:00,12,554,798,11720,7,112,48,0,#N/A,1,891,105,#N/A
171,01.10.17 04:00,12,554,798,11720,7,112,48,0,#N/A,1,891,105,#N/A
172,01.10.17 06:00,12,554,798,11720,7,112,48,0,#N/A,1,895,105,#N/A
173,01.10.17 08:00,12,554,798,11720,7,112,48,0,#N/A,1,895,105,#N/A
174,01.10.17 10:00,12,554,797,11719,7,113,48,0,#N/A,1,895,105,#N/A
175,01.10.17 12:00,12,554,797,11718,7,113,48,0,#N/A,1,895,105,#N/A
176,01.10.17 14:00,12,554,797,11718,7,114,48,0,#N/A,1,895,105,#N/A
177,01.10.17 16:00,12,554,797,11718,7,114,49,0,#N/A,1,895,105,#N/A
178,01.10.17 18:00,12,554,797,11718,7,114,49,0,#N/A,1,895,105,#N/A
179,01.10.17 20:00,12,554,797,11717,7,114,49,0,#N/A,1,895,105,#N/A
180,01.10.17 22:00,12,554,797,11717,7,114,50,0,#N/A,1,895,105,#N/A
181,01.11.17 00:00,12,554,797,11717,7,114,50,0,#N/A,1,895,105,#N/A
182,01.11.17 02:00,12,554,797,11717,7,114,51,0,#N/A,1,895,105,#N/A
183,01.11.17 04:00,12,554,797,11716,7,114,51,0,#N/A,1,895,105,#N/A
184,01.11.17 06:00,12,554,797,11716,7,115,50,0,#N/A,1,895,105,#N/A
185,01.11.17 08:00,12,554,797,11716,7,115,50,0,#N/A,1,891,105,#N/A
186,01.11.17 10:00,12,554,797,11715,7,115,50,0,#N/A,1,891,105,#N/A
187,01.11.17 12:00,12,554,797,11715,7,115,50,0,#N/A,1,891,105,#N/A
188,01.11.17 14:00,12,554,797,11715,7,116,50,0,#N/A,1,891,105,#N/A
189,01.11.17 16:00,12,554,797,11714,7,116,50,0,#N/A,1,891,105,#N/A
190,01.11.17 18:00,12,554,797,11714,7,116,50,0,#N/A,1,891,105,#N/A
191,01.11.17 20:00,12,554,797,11714,7,116,50,0,#N/A,1,891,105,#N/A
192,01.11.17 22:00,12,554,797,11714,7,116,50,0,#N/A,1,891,105,#N/A
193,01.12.17 00:00,12,554,797,11713,7,116,50,0,#N/A,1,891,105,#N/A
194,01.12.17 02:00,12,554,797,11713,7,117,51,0,#N/A,1,891,105,#N/A
195,01.12.17 04:00,12,554,797,11712,7,118,51,0,#N/A,1,891,105,#N/A
196,01.12.17 06:00,12,554,797,11712,7,118,51,0,#N/A,1,891,105,#N/A
197,01.12.17 08:00,12,554,797,11712,7,118,51,0,#N/A,1,891,105,#N/A
198,01.12.17 10:00,12,554,797,11711,7,118,51,0,#N/A,1,850,105,#N/A
199,01.12.17 12:00,12,554,797,11711,7,118,51,0,#N/A,1,850,105,#N/A
200,01.12.17 14:00,12,554,797,11711,7,118,51,0,#N/A,1,850,105,#N/A
201,01.12.17 16:00,12,554,797,11711,7,118,51,0,#N/A,1,847,105,#N/A
202,01.12.17 18:00,12,554,797,11710,7,118,52,0,#N/A,1,857,105,#N/A
203,01.12.17 20:00,12,554,797,11710,7,118,53,0,#N/A,1,854,105,#N/A
204,01.12.17 22:00,12,554,797,11710,10,118,53,0,#N/A,1,854,105,#N/A
205,1.13.17 12:00 AM,12,554,797,11710,10,118,53,0,#N/A,1,850,105,#N/A
206,1.13.17 2:00 AM,12,554,797,11709,14,118,53,0,#N/A,1,850,105,#N/A
207,1.13.17 4:00 AM,12,554,797,11709,14,118,53,0,#N/A,1,847,105,#N/A
208,1.13.17 6:00 AM,12,554,797,11709,14,118,53,0,#N/A,1,847,105,#N/A
209,1.13.17 8:00 AM,12,554,797,11708,14,118,54,0,#N/A,1,850,105,#N/A
210,1.13.17 10:00 AM,12,553,797,11708,14,118,54,0,#N/A,1,847,105,#N/A
211,1.13.17 12:00 PM,12,553,797,11708,14,118,54,0,#N/A,1,844,105,#N/A
212,1.13.17 2:00 PM,12,553,797,11707,14,118,54,0,#N/A,1,844,105,#N/A
213,1.13.17 4:00 PM,12,553,797,11707,14,118,54,0,#N/A,1,844,105,#N/A
214,1.13.17 6:00 PM,12,553,797,11707,14,119,54,0,#N/A,1,837,105,#N/A
215,1.13.17 8:00 PM,12,553,797,11706,14,119,55,0,#N/A,1,837,105,#N/A
216,1.13.17 10:00 PM,12,553,797,11706,17,119,55,0,#N/A,1,833,105,#N/A
217,1.14.17 12:00 AM,12,553,797,11706,17,119,55,0,#N/A,1,833,105,#N/A
218,1.14.17 2:00 AM,12,553,797,11706,17,119,55,0,#N/A,1,830,105,#N/A
219,1.14.17 4:00 AM,12,553,796,11705,17,119,55,0,#N/A,1,830,105,#N/A
220,1.14.17 6:00 AM,12,553,796,11705,17,119,55,0,#N/A,1,830,105,#N/A
221,1.14.17 8:00 AM,12,553,796,11705,17,119,55,0,#N/A,1,830,105,#N/A
222,1.14.17 10:00 AM,12,553,796,11705,17,119,55,0,#N/A,1,833,105,#N/A
223,1.14.17 12:00 PM,12,553,796,11704,17,119,55,0,#N/A,1,837,105,#N/A
224,1.14.17 2:00 PM,12,553,796,11704,17,119,55,0,#N/A,1,837,105,#N/A
225,1.14.17 4:00 PM,12,553,796,11704,17,120,55,0,#N/A,1,840,105,#N/A
226,1.14.17 6:00 PM,12,553,796,11704,17,120,55,0,#N/A,1,847,105,#N/A
227,1.14.17 8:00 PM,12,553,796,11704,17,120,55,0,#N/A,1,847,105,#N/A
228,1.14.17 10:00 PM,12,553,796,11703,20,120,55,0,#N/A,1,847,105,#N/A
229,1.15.17 12:00 AM,12,553,796,11703,20,120,55,0,#N/A,1,847,105,#N/A
230,1.15.17 2:00 AM,12,553,796,11703,20,120,55,0,#N/A,1,847,105,#N/A
231,1.15.17 4:00 AM,12,553,796,11703,20,120,55,0,#N/A,1,844,105,#N/A
232,1.15.17 6:00 AM,12,553,796,11703,20,120,55,0,#N/A,1,844,105,#N/A
233,1.15.17 8:00 AM,12,553,796,11702,20,120,55,0,#N/A,1,844,105,#N/A
234,1.15.17 10:00 AM,12,553,796,11702,20,120,56,0,#N/A,1,840,105,#N/A
235,1.15.17 12:00 PM,12,553,796,11702,20,120,56,0,#N/A,1,844,105,#N/A
236,1.15.17 2:00 PM,12,553,796,11701,20,120,56,0,#N/A,1,844,105,#N/A
237,1.15.17 4:00 PM,12,553,796,11701,20,120,56,0,#N/A,1,844,105,#N/A
238,1.15.17 6:00 PM,12,553,796,11701,20,121,56,0,#N/A,1,844,105,#N/A
239,1.15.17 8:00 PM,12,553,796,11701,20,121,56,0,#N/A,1,850,105,#N/A
240,1.15.17 10:00 PM,12,553,796,11700,20,121,57,0,#N/A,1,850,105,#N/A
241,1.16.17 12:00 AM,12,553,796,11700,20,121,57,0,#N/A,1,850,105,#N/A
242,1.16.17 2:00 AM,12,553,796,11700,20,121,57,0,#N/A,1,850,105,#N/A
243,1.16.17 4:00 AM,12,553,796,11700,20,121,57,0,#N/A,1,850,105,#N/A
244,1.16.17 6:00 AM,12,553,796,11700,20,121,57,0,#N/A,1,850,105,#N/A
245,1.16.17 8:00 AM,12,553,796,11699,20,121,57,0,#N/A,1,850,105,#N/A
246,1.16.17 10:00 AM,12,553,796,11699,20,121,58,0,#N/A,1,847,105,#N/A
247,1.16.17 12:00 PM,12,553,796,11699,20,121,58,0,#N/A,1,847,105,#N/A
248,1.16.17 2:00 PM,12,553,796,11698,20,121,58,0,#N/A,1,847,105,#N/A
249,1.16.17 4:00 PM,12,553,796,11700,20,121,58,0,#N/A,1,847,105,#N/A
250,1.16.17 6:00 PM,12,553,796,11700,20,121,58,0,#N/A,1,847,105,20
251,1.16.17 8:00 PM,12,553,796,11698,20,122,58,0,#N/A,1,847,105,21
252,1.16.17 10:00 PM,12,553,796,11698,20,122,58,0,#N/A,1,847,105,21
253,1.17.17 12:00 AM,12,553,796,11698,20,123,58,0,#N/A,1,847,105,21
254,1.17.17 2:00 AM,12,553,796,11698,20,124,58,0,#N/A,1,847,105,19
255,1.17.17 4:00 AM,12,553,796,11698,20,124,58,0,#N/A,1,847,105,19
256,1.17.17 6:00 AM,12,553,796,11698,20,124,58,0,#N/A,1,847,105,19
257,1.17.17 8:00 AM,12,553,796,11697,20,124,58,0,#N/A,1,847,105,19
258,1.17.17 10:00 AM,12,553,796,11697,20,124,58,0,#N/A,1,847,105,18
259,1.17.17 12:00 PM,12,553,796,11697,20,124,59,0,#N/A,1,847,105,18
260,1.17.17 2:00 PM,12,553,796,11696,20,124,59,0,#N/A,1,847,105,17
261,1.17.17 4:00 PM,12,553,796,11696,20,124,59,0,#N/A,1,847,105,17
262,1.17.17 6:00 PM,12,553,796,11696,20,124,59,0,#N/A,1,847,105,18
263,1.17.17 8:00 PM,12,553,796,11696,20,124,59,0,#N/A,1,847,105,19
264,1.17.17 10:00 PM,12,553,796,11696,20,124,59,0,#N/A,1,847,105,19
265,1.18.17 12:00 AM,12,553,796,11695,20,124,59,0,#N/A,1,847,105,19
266,1.18.17 2:00 AM,12,553,796,11695,20,125,60,0,#N/A,1,847,105,19
267,1.18.17 4:00 AM,12,552,796,11694,20,125,60,0,#N/A,1,847,105,19
268,1.18.17 6:00 AM,12,552,796,11694,20,125,60,0,#N/A,1,847,105,19
269,1.18.17 8:00 AM,12,552,796,11694,20,125,60,0,#N/A,1,847,105,19
270,1.18.17 10:00 AM,12,552,796,11693,20,125,60,0,#N/A,1,847,105,17
271,1.18.17 12:00 PM,12,552,796,11693,20,125,60,0,#N/A,1,847,105,17
272,1.18.17 2:00 PM,12,552,796,11693,20,125,60,0,#N/A,1,847,105,17
273,1.18.17 4:00 PM,12,552,796,11692,20,125,60,0,#N/A,1,847,105,17
274,1.18.17 6:00 PM,12,552,796,11692,20,125,60,0,#N/A,1,847,105,19
275,1.18.17 8:00 PM,12,552,796,11692,20,126,60,0,#N/A,1,847,105,20
276,1.18.17 10:00 PM,12,552,796,11692,20,126,60,0,#N/A,1,847,105,18
277,1.19.17 12:00 AM,12,552,796,11692,20,126,60,0,#N/A,1,847,105,18
278,1.19.17 2:00 AM,12,552,796,11691,20,126,60,0,#N/A,1,847,105,15
279,1.19.17 4:00 AM,12,552,796,11692,20,126,60,0,#N/A,1,847,105,15
280,1.19.17 6:00 AM,12,552,796,11691,20,126,60,0,#N/A,1,847,105,16
281,1.19.17 8:00 AM,12,552,796,11691,20,126,60,0,#N/A,1,847,105,14
282,1.19.17 10:00 AM,12,552,795,11690,20,126,60,0,#N/A,1,847,105,14
283,1.19.17 12:00 PM,12,552,795,11690,20,127,60,0,#N/A,1,847,105,14
284,1.19.17 2:00 PM,12,552,795,11690,20,127,60,0,#N/A,1,847,105,15
285,1.19.17 4:00 PM,12,552,795,11690,20,127,61,0,#N/A,1,847,105,15
286,1.19.17 6:00 PM,12,552,795,11690,20,128,61,0,#N/A,1,847,105,15
287,1.19.17 8:00 PM,12,552,795,11690,20,128,61,0,#N/A,1,847,105,15
288,1.19.17 10:00 PM,12,552,795,11690,20,128,61,0,#N/A,1,847,105,15
289,1.20.17 12:00 AM,12,552,795,11689,20,128,61,0,#N/A,1,847,105,14
290,1.20.17 2:00 AM,12,552,795,11688,24,128,61,0,#N/A,1,847,105,13
291,1.20.17 4:00 AM,12,552,795,11688,24,128,61,0,#N/A,1,847,105,13
292,1.20.17 6:00 AM,12,552,795,11688,24,128,61,0,#N/A,1,847,105,13
293,1.20.17 8:00 AM,12,552,795,11688,24,128,61,0,#N/A,1,850,105,14
294,1.20.17 10:00 AM,12,552,795,11688,24,128,61,0,#N/A,1,850,105,13
295,1.20.17 12:00 PM,12,552,795,11688,24,128,61,0,#N/A,1,850,105,13
