Date,Well_Head_Pressure_(atm),Downhole_Gauge_Pressure_(atm),Downhole_Gauge_Pressure_(psi),BHFP_at_Top_Perf_(atm),WellBore_Dynamic_Fluid Density _(kg/m3),Daily_Gas_Production_(1000 m³/day),Daily_Condensate_Production_(ton/day),Daily_Water_Production_(ton/day),Daily_Liquid_Production_(ton/day),Total_Produced_Gas_(1000 m³),Total_Produced_Condensate_(ton),Total_Produced_Water_(ton),Total_Produced_Liquid_(ton)
1.28.14 0:00,623,#N/A,#N/A,#N/A,#N/A,653,130,14,144,653,130,14,144
1.29.14 0:00,600,#N/A,#N/A,#N/A,#N/A,745,150,16,166,1398,281,29,310
1.30.14 0:00,588,#N/A,#N/A,#N/A,#N/A,668,133,14,147,2066,414,43,457
1.31.14 0:00,585,#N/A,#N/A,#N/A,#N/A,850,145,15,160,2916,558,59,617
2.1.14 0:00,587,#N/A,#N/A,#N/A,#N/A,879,167,12,179,3795,726,70,796
2.2.14 0:00,583,#N/A,#N/A,#N/A,#N/A,879,167,12,179,4675,893,82,976
2.3.14 0:00,581,#N/A,#N/A,#N/A,#N/A,879,167,12,179,5554,1061,94,1155
2.4.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,167,12,179,6433,1228,106,1334
2.5.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,163,16,179,7313,1391,122,1513
2.6.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,163,16,179,8192,1554,137,1692
2.7.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,163,16,179,9072,1717,153,1870
2.8.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,163,16,179,9951,1881,169,2049
2.9.14 0:00,580,#N/A,#N/A,#N/A,#N/A,879,163,16,179,10830,2044,184,2228
2.10.14 0:00,580,#N/A,#N/A,#N/A,#N/A,894,163,16,179,11724,2207,200,2407
2.11.14 0:00,580,#N/A,#N/A,#N/A,#N/A,784,134,13,146,12508,2340,213,2553
2.12.14 0:00,580,#N/A,#N/A,#N/A,#N/A,362,64,6,70,12870,2404,219,2624
2.13.14 0:00,589,#N/A,#N/A,#N/A,#N/A,304,32,3,35,13175,2436,222,2658
2.14.14 0:00,584,#N/A,#N/A,#N/A,#N/A,700,73,7,80,13875,2509,229,2739
2.15.14 0:00,575,#N/A,#N/A,#N/A,#N/A,876,159,15,174,14751,2668,244,2913
2.16.14 0:00,573,#N/A,#N/A,#N/A,#N/A,881,168,16,184,15633,2837,261,3097
2.17.14 0:00,570,#N/A,#N/A,#N/A,#N/A,889,159,15,174,16521,2996,276,3272
2.18.14 0:00,572,#N/A,#N/A,#N/A,#N/A,951,177,17,194,17472,3173,293,3466
2.19.14 0:00,623,#N/A,#N/A,#N/A,#N/A,559,100,9,110,18031,3273,302,3576
2.20.14 0:00,632,#N/A,#N/A,#N/A,#N/A,527,89,8,97,18557,3362,310,3673
2.21.14 0:00,639,#N/A,#N/A,#N/A,#N/A,497,84,8,91,19054,3446,318,3764
2.22.14 0:00,643,#N/A,#N/A,#N/A,#N/A,417,70,6,77,19471,3516,324,3841
2.23.14 0:00,658,#N/A,#N/A,#N/A,#N/A,393,66,6,72,19864,3582,331,3913
2.24.14 0:00,658,#N/A,#N/A,#N/A,#N/A,407,68,6,75,20271,3651,337,3988
2.25.14 0:00,652,#N/A,#N/A,#N/A,#N/A,426,72,7,78,20697,3722,343,4066
2.26.14 0:00,657,#N/A,#N/A,#N/A,#N/A,424,71,7,78,21121,3794,350,4144
2.27.14 0:00,659,#N/A,#N/A,#N/A,#N/A,467,79,7,86,21588,3872,357,4229
2.28.14 0:00,658,#N/A,#N/A,#N/A,#N/A,445,75,7,82,22032,3947,364,4311
3.1.14 0:00,660,#N/A,#N/A,#N/A,#N/A,424,72,7,79,22456,4019,371,4390
3.2.14 0:00,657,#N/A,#N/A,#N/A,#N/A,433,74,7,81,22889,4093,378,4471
3.3.14 0:00,660,#N/A,#N/A,#N/A,#N/A,405,69,6,76,23294,4162,384,4546
3.4.14 0:00,658,#N/A,#N/A,#N/A,#N/A,406,69,6,76,23701,4232,390,4622
3.5.14 0:00,655,#N/A,#N/A,#N/A,#N/A,436,74,7,81,24137,4306,397,4703
3.6.14 0:00,652,#N/A,#N/A,#N/A,#N/A,450,77,7,84,24587,4383,404,4787
3.7.14 0:00,652,#N/A,#N/A,#N/A,#N/A,437,75,7,81,25023,4458,411,4869
3.8.14 0:00,646,#N/A,#N/A,#N/A,#N/A,422,72,7,79,25445,4530,418,4947
3.9.14 0:00,648,#N/A,#N/A,#N/A,#N/A,399,68,6,74,25844,4598,424,5022
3.10.14 0:00,642,#N/A,#N/A,#N/A,#N/A,423,72,7,79,26267,4670,430,5100
3.11.14 0:00,640,#N/A,#N/A,#N/A,#N/A,444,76,7,83,26711,4746,437,5183
3.12.14 0:00,650,#N/A,#N/A,#N/A,#N/A,360,62,6,67,27071,4808,443,5250
3.13.14 0:00,650,#N/A,#N/A,#N/A,#N/A,422,72,7,79,27493,4880,449,5329
3.14.14 0:00,650,#N/A,#N/A,#N/A,#N/A,429,73,7,80,27921,4953,456,5409
