U1_10RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm),Choke Pressure (atm),III Choke Pressure (atm),III pille Temperature (Celcius)
0,9.19.12 18:00,6,622,#N/A,#N/A,#N/A,58,280,108,#N/A,#N/A,816,#N/A,#N/A,#N/A
1,9.19.12 20:00,6,639,#N/A,#N/A,#N/A,89,296,112,#N/A,#N/A,816,#N/A,#N/A,#N/A
2,9.19.12 22:00,8,639,#N/A,#N/A,#N/A,110,311,120,#N/A,#N/A,816,#N/A,#N/A,#N/A
3,9.20.12 0:00,8,639,#N/A,#N/A,#N/A,103,240,116,#N/A,#N/A,755,#N/A,#N/A,#N/A
4,9.20.12 2:00,8,639,#N/A,#N/A,#N/A,120,278,128,#N/A,#N/A,755,#N/A,#N/A,#N/A
5,9.20.12 4:00,8,639,#N/A,#N/A,#N/A,104,294,134,#N/A,#N/A,789,#N/A,#N/A,#N/A
6,9.20.12 6:00,8,639,#N/A,#N/A,#N/A,108,290,105,#N/A,#N/A,796,#N/A,#N/A,#N/A
7,9.20.12 8:00,8,599,#N/A,#N/A,#N/A,126,309,116,#N/A,#N/A,599,#N/A,#N/A,#N/A
8,9.20.12 10:00,8,599,#N/A,#N/A,#N/A,106,321,125,#N/A,#N/A,816,#N/A,#N/A,#N/A
9,9.20.12 12:00,8,490,#N/A,#N/A,#N/A,118,265,126,#N/A,#N/A,789,#N/A,#N/A,#N/A
10,9.20.12 14:00,8,510,#N/A,#N/A,#N/A,104,305,140,#N/A,#N/A,748,#N/A,#N/A,#N/A
11,9.20.12 16:00,8,517,#N/A,#N/A,#N/A,126,330,150,#N/A,#N/A,782,#N/A,#N/A,#N/A
12,9.20.12 18:00,8,517,#N/A,#N/A,#N/A,100,60,60,#N/A,#N/A,782,#N/A,#N/A,#N/A
13,9.20.12 20:00,8,517,#N/A,#N/A,#N/A,120,140,0,#N/A,#N/A,782,#N/A,#N/A,#N/A
14,9.20.12 22:00,8,517,#N/A,#N/A,#N/A,122,200,0,#N/A,#N/A,748,#N/A,#N/A,#N/A
15,9.21.12 0:00,8,517,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,9.21.12 2:00,8,517,#N/A,#N/A,#N/A,88,250,0,#N/A,#N/A,728,#N/A,#N/A,#N/A
17,9.21.12 4:00,8,517,#N/A,#N/A,#N/A,105,255,0,#N/A,#N/A,735,#N/A,#N/A,#N/A
18,9.21.12 6:00,8,517,#N/A,#N/A,#N/A,108,270,15,#N/A,#N/A,735,#N/A,#N/A,#N/A
19,9.21.12 8:00,8,517,#N/A,#N/A,#N/A,120,280,15,#N/A,#N/A,735,#N/A,#N/A,#N/A
20,9.21.12 10:00,8,517,#N/A,#N/A,#N/A,90,285,25,#N/A,#N/A,735,#N/A,#N/A,#N/A
21,9.21.12 12:00,8,517,#N/A,#N/A,#N/A,92,285,25,#N/A,#N/A,680,#N/A,#N/A,#N/A
22,9.21.12 14:00,10,517,#N/A,#N/A,#N/A,95,290,30,#N/A,#N/A,680,#N/A,#N/A,#N/A
23,9.21.12 16:00,10,537,#N/A,#N/A,#N/A,105,300,36,#N/A,#N/A,680,#N/A,#N/A,#N/A
24,9.21.12 18:00,10,537,#N/A,#N/A,#N/A,105,300,36,#N/A,#N/A,680,#N/A,#N/A,#N/A
25,9.21.12 20:00,10,537,#N/A,#N/A,#N/A,110,302,42,#N/A,#N/A,680,#N/A,#N/A,#N/A
26,9.21.12 22:00,10,537,#N/A,#N/A,#N/A,88,305,45,#N/A,#N/A,680,#N/A,#N/A,#N/A
27,9.22.12 0:00,10,537,#N/A,#N/A,#N/A,105,309,48,#N/A,#N/A,680,#N/A,#N/A,#N/A
28,9.22.12 2:00,10,537,#N/A,#N/A,#N/A,112,310,50,#N/A,#N/A,680,#N/A,#N/A,#N/A
29,9.22.12 4:00,10,537,#N/A,#N/A,#N/A,115,312,51,#N/A,#N/A,680,#N/A,#N/A,#N/A
30,9.22.12 6:00,10,537,#N/A,#N/A,#N/A,115,313,51,#N/A,#N/A,680,#N/A,#N/A,#N/A
31,9.22.12 8:00,10,537,#N/A,#N/A,#N/A,120,315,52,#N/A,#N/A,735,#N/A,#N/A,#N/A
32,9.22.12 10:00,10,537,#N/A,#N/A,#N/A,108,215,42,#N/A,#N/A,735,#N/A,#N/A,#N/A
33,9.22.12 12:00,10,531,#N/A,#N/A,#N/A,120,217,45,#N/A,#N/A,680,#N/A,#N/A,#N/A
34,9.22.12 14:00,10,531,#N/A,#N/A,#N/A,121,250,52,#N/A,#N/A,680,#N/A,#N/A,#N/A
35,9.22.12 16:00,10,544,#N/A,#N/A,#N/A,125,260,60,#N/A,#N/A,680,#N/A,#N/A,#N/A
36,9.22.12 18:00,10,558,#N/A,#N/A,#N/A,126,264,63,#N/A,#N/A,680,#N/A,#N/A,#N/A
37,9.22.12 20:00,10,558,#N/A,#N/A,#N/A,85,240,65,#N/A,#N/A,680,#N/A,#N/A,#N/A
38,9.22.12 22:00,10,558,#N/A,#N/A,#N/A,100,251,65,#N/A,#N/A,680,#N/A,#N/A,#N/A
39,9.23.12 0:00,10,558,#N/A,#N/A,#N/A,100,310,50,#N/A,#N/A,680,#N/A,#N/A,#N/A
40,9.23.12 2:00,10,558,#N/A,#N/A,#N/A,102,311,71,#N/A,#N/A,680,#N/A,#N/A,#N/A
41,9.23.12 4:00,10,551,#N/A,#N/A,#N/A,104,256,75,#N/A,#N/A,680,#N/A,#N/A,#N/A
42,9.23.12 6:00,10,551,#N/A,#N/A,#N/A,106,256,75,#N/A,#N/A,680,#N/A,#N/A,#N/A
43,9.23.12 8:00,10,551,#N/A,#N/A,#N/A,104,260,75,#N/A,#N/A,680,#N/A,#N/A,#N/A
44,9.23.12 10:00,10,551,#N/A,#N/A,#N/A,105,260,77,#N/A,#N/A,680,#N/A,#N/A,#N/A
45,9.23.12 12:00,10,551,#N/A,#N/A,#N/A,105,265,79,#N/A,#N/A,680,#N/A,#N/A,#N/A
46,9.23.12 14:00,10,558,#N/A,#N/A,#N/A,106,266,82,#N/A,#N/A,680,#N/A,#N/A,#N/A
47,9.23.12 16:00,10,558,#N/A,#N/A,#N/A,107,266,86,#N/A,#N/A,680,#N/A,#N/A,#N/A
48,9.23.12 18:00,10,544,#N/A,#N/A,#N/A,110,269,86,#N/A,#N/A,680,#N/A,#N/A,#N/A
49,9.23.12 20:00,10,544,#N/A,#N/A,#N/A,110,270,87,#N/A,#N/A,680,#N/A,#N/A,#N/A
50,9.23.12 22:00,10,544,#N/A,#N/A,#N/A,113,271,90,#N/A,#N/A,680,#N/A,#N/A,#N/A
51,9.24.12 0:00,10,541,#N/A,#N/A,#N/A,115,272,92,#N/A,#N/A,680,#N/A,#N/A,#N/A
52,9.24.12 2:00,10,541,#N/A,#N/A,#N/A,115,275,93,#N/A,#N/A,680,#N/A,#N/A,#N/A
53,9.24.12 4:00,10,541,#N/A,#N/A,#N/A,116,275,94,#N/A,#N/A,680,#N/A,#N/A,#N/A
54,9.24.12 6:00,10,541,#N/A,#N/A,#N/A,116,275,94,#N/A,#N/A,680,#N/A,#N/A,#N/A
55,9.24.12 8:00,10,541,#N/A,#N/A,#N/A,117,277,96,#N/A,#N/A,680,#N/A,#N/A,#N/A
56,9.24.12 10:00,10,541,#N/A,#N/A,#N/A,120,280,96,#N/A,#N/A,680,#N/A,#N/A,#N/A
57,9.24.12 12:00,10,551,#N/A,#N/A,#N/A,123,282,97,#N/A,#N/A,680,#N/A,#N/A,#N/A
58,9.24.12 14:00,10,551,#N/A,#N/A,#N/A,123,282,97,#N/A,#N/A,680,#N/A,#N/A,#N/A
59,9.24.12 16:00,10,551,#N/A,#N/A,#N/A,124,282,97,#N/A,#N/A,680,#N/A,#N/A,#N/A
60,9.24.12 18:00,10,551,#N/A,#N/A,#N/A,76,276,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
61,9.24.12 20:00,10,551,#N/A,#N/A,#N/A,78,276,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
62,9.24.12 22:00,10,548,#N/A,#N/A,#N/A,81,276,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
63,9.25.12 0:00,10,548,#N/A,#N/A,#N/A,85,278,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
64,9.25.12 2:00,10,551,#N/A,#N/A,#N/A,86,279,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
65,9.25.12 4:00,10,551,#N/A,#N/A,#N/A,87,275,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
66,9.25.12 6:00,10,551,#N/A,#N/A,#N/A,88,280,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
67,9.25.12 8:00,10,554,#N/A,#N/A,#N/A,90,280,100,#N/A,#N/A,680,#N/A,#N/A,#N/A
68,9.25.12 10:00,10,554,#N/A,#N/A,#N/A,90,281,101,#N/A,#N/A,680,#N/A,#N/A,#N/A
69,9.25.12 12:00,10,554,#N/A,#N/A,#N/A,90,281,101,#N/A,#N/A,680,#N/A,#N/A,#N/A
70,9.25.12 14:00,10,554,#N/A,#N/A,#N/A,91,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
71,9.25.12 16:00,10,554,#N/A,#N/A,#N/A,92,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
72,9.25.12 18:00,10,544,#N/A,#N/A,#N/A,92,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
73,9.25.12 20:00,10,544,#N/A,#N/A,#N/A,92,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
74,9.25.12 22:00,10,544,#N/A,#N/A,#N/A,92,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
75,9.26.12 0:00,10,544,#N/A,#N/A,#N/A,92,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
76,9.26.12 2:00,10,544,#N/A,#N/A,#N/A,94,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
77,9.26.12 4:00,10,544,#N/A,#N/A,#N/A,95,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
78,9.26.12 6:00,10,544,#N/A,#N/A,#N/A,96,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
79,9.26.12 8:00,10,544,#N/A,#N/A,#N/A,97,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
80,9.26.12 10:00,10,544,#N/A,#N/A,#N/A,98,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
81,9.26.12 12:00,10,537,#N/A,#N/A,#N/A,98,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
82,9.26.12 14:00,10,537,#N/A,#N/A,#N/A,98,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
83,9.26.12 16:00,10,537,#N/A,#N/A,#N/A,98,282,102,#N/A,#N/A,680,#N/A,#N/A,#N/A
84,9.26.12 18:00,10,544,#N/A,#N/A,#N/A,103,283,103,#N/A,#N/A,680,#N/A,#N/A,#N/A
85,9.26.12 20:00,10,544,#N/A,#N/A,#N/A,103,283,103,#N/A,#N/A,680,#N/A,#N/A,#N/A
86,9.26.12 22:00,10,551,#N/A,#N/A,#N/A,103,282,103,#N/A,#N/A,680,#N/A,#N/A,#N/A
87,9.27.12 0:00,10,551,#N/A,#N/A,#N/A,103,282,104,#N/A,#N/A,680,#N/A,#N/A,#N/A
88,9.27.12 2:00,10,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
89,9.27.12 4:00,10,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
90,9.27.12 6:00,10,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
91,9.27.12 8:00,10,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
92,9.27.12 10:00,12,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
93,9.27.12 12:00,12,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
94,9.27.12 14:00,12,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
95,9.27.12 16:00,12,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
96,9.27.12 18:00,12,551,#N/A,#N/A,#N/A,104,282,105,#N/A,#N/A,667,#N/A,#N/A,#N/A
97,9.27.12 20:00,12,476,#N/A,#N/A,#N/A,109,285,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
98,9.27.12 22:00,12,476,#N/A,#N/A,#N/A,116,289,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
99,9.28.12 0:00,12,476,#N/A,#N/A,#N/A,100,292,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
100,9.28.12 2:00,12,473,#N/A,#N/A,#N/A,102,292,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
101,9.28.12 4:00,12,473,#N/A,#N/A,#N/A,105,294,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
102,9.28.12 6:00,12,473,#N/A,#N/A,#N/A,107,295,103,#N/A,#N/A,667,#N/A,#N/A,#N/A
103,9.28.12 8:00,12,544,#N/A,#N/A,#N/A,110,297,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
104,9.28.12 10:00,12,476,#N/A,#N/A,#N/A,109,297,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
105,9.28.12 12:00,12,476,#N/A,#N/A,#N/A,110,297,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
106,9.28.12 14:00,12,476,#N/A,#N/A,#N/A,111,300,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
107,9.28.12 16:00,12,476,#N/A,#N/A,#N/A,114,300,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
108,9.28.12 18:00,12,469,#N/A,#N/A,#N/A,117,301,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
109,9.28.12 20:00,12,469,#N/A,#N/A,#N/A,118,301,103,#N/A,#N/A,673,#N/A,#N/A,#N/A
110,9.28.12 22:00,12,469,#N/A,#N/A,#N/A,86,285,77,#N/A,#N/A,673,#N/A,#N/A,#N/A
111,9.29.12 0:00,12,469,#N/A,#N/A,#N/A,88,290,77,#N/A,#N/A,673,#N/A,#N/A,#N/A
112,9.29.12 2:00,12,469,#N/A,#N/A,#N/A,92,291,79,#N/A,#N/A,673,#N/A,#N/A,#N/A
113,9.29.12 4:00,12,469,#N/A,#N/A,#N/A,94,293,80,#N/A,#N/A,673,#N/A,#N/A,#N/A
114,9.29.12 6:00,12,469,#N/A,#N/A,#N/A,94,294,80,#N/A,#N/A,673,#N/A,#N/A,#N/A
115,9.29.12 8:00,12,469,#N/A,#N/A,#N/A,94,296,80,#N/A,#N/A,667,#N/A,#N/A,#N/A
116,9.29.12 10:00,12,469,#N/A,#N/A,#N/A,95,296,80,#N/A,#N/A,667,#N/A,#N/A,#N/A
117,9.29.12 12:00,12,469,#N/A,#N/A,#N/A,95,296,80,#N/A,#N/A,660,#N/A,#N/A,#N/A
118,9.29.12 14:00,12,469,#N/A,#N/A,#N/A,95,297,80,#N/A,#N/A,660,#N/A,#N/A,#N/A
119,9.29.12 16:00,12,469,#N/A,#N/A,#N/A,95,265,0,#N/A,#N/A,660,#N/A,#N/A,#N/A
120,9.29.12 18:00,12,469,#N/A,#N/A,#N/A,95,275,5,#N/A,#N/A,660,#N/A,#N/A,#N/A
121,9.29.12 20:00,12,469,#N/A,#N/A,#N/A,100,280,11,#N/A,#N/A,660,#N/A,#N/A,#N/A
122,9.29.12 22:00,12,469,#N/A,#N/A,#N/A,101,282,12,#N/A,#N/A,660,#N/A,#N/A,#N/A
123,9.30.12 0:00,12,469,#N/A,#N/A,#N/A,102,284,15,#N/A,#N/A,660,#N/A,#N/A,#N/A
124,9.30.12 2:00,12,469,#N/A,#N/A,#N/A,103,285,15,#N/A,#N/A,660,#N/A,#N/A,#N/A
125,9.30.12 4:00,12,469,#N/A,#N/A,#N/A,103,286,17,#N/A,#N/A,660,#N/A,#N/A,#N/A
126,9.30.12 6:00,12,469,#N/A,#N/A,#N/A,104,286,18,#N/A,#N/A,660,#N/A,#N/A,#N/A
127,9.30.12 8:00,12,469,#N/A,#N/A,#N/A,104,288,20,#N/A,#N/A,653,#N/A,#N/A,#N/A
128,9.30.12 10:00,12,469,#N/A,#N/A,#N/A,105,290,22,#N/A,#N/A,653,#N/A,#N/A,#N/A
129,9.30.12 12:00,12,473,#N/A,#N/A,68,104,290,23,#N/A,#N/A,653,#N/A,#N/A,#N/A
130,9.30.12 14:00,12,473,#N/A,#N/A,68,101,290,23,#N/A,#N/A,653,#N/A,#N/A,#N/A
131,9.30.12 16:00,12,473,#N/A,#N/A,68,101,291,25,#N/A,#N/A,653,#N/A,#N/A,#N/A
132,9.30.12 18:00,12,473,#N/A,#N/A,68,101,293,26,#N/A,#N/A,653,#N/A,#N/A,#N/A
133,9.30.12 20:00,12,473,#N/A,#N/A,68,101,294,28,#N/A,#N/A,653,#N/A,#N/A,#N/A
134,9.30.12 22:00,12,473,#N/A,#N/A,68,102,295,28,#N/A,#N/A,653,#N/A,#N/A,#N/A
135,10.01.12 00:00,12,473,#N/A,#N/A,68,102,295,30,#N/A,#N/A,653,#N/A,#N/A,#N/A
136,10.01.12 02:00,12,473,#N/A,#N/A,68,102,295,31,#N/A,#N/A,653,#N/A,#N/A,#N/A
137,10.01.12 04:00,12,473,#N/A,#N/A,68,102,295,32,#N/A,#N/A,653,#N/A,#N/A,#N/A
138,10.01.12 06:00,12,473,#N/A,#N/A,68,102,295,33,#N/A,#N/A,653,#N/A,#N/A,#N/A
139,10.01.12 08:00,12,473,#N/A,#N/A,68,104,296,35,#N/A,#N/A,653,#N/A,#N/A,#N/A
140,10.01.12 10:00,12,469,#N/A,#N/A,68,104,297,36,#N/A,#N/A,653,#N/A,#N/A,#N/A
141,10.01.12 12:00,12,469,#N/A,#N/A,68,105,298,36,#N/A,#N/A,653,#N/A,#N/A,#N/A
142,10.01.12 14:00,12,469,#N/A,#N/A,68,106,299,37,#N/A,#N/A,653,#N/A,#N/A,#N/A
143,10.01.12 16:00,12,469,#N/A,#N/A,68,107,300,38,#N/A,#N/A,653,#N/A,#N/A,#N/A
144,10.01.12 18:00,12,469,#N/A,#N/A,68,108,301,39,#N/A,#N/A,653,#N/A,#N/A,#N/A
145,10.01.12 20:00,12,469,#N/A,#N/A,68,110,301,39,#N/A,#N/A,653,#N/A,#N/A,#N/A
146,10.01.12 22:00,12,469,#N/A,#N/A,68,110,301,39,#N/A,#N/A,653,#N/A,#N/A,#N/A
147,10.02.12 00:00,12,469,#N/A,#N/A,68,110,301,40,#N/A,#N/A,653,#N/A,#N/A,#N/A
148,10.02.12 02:00,12,469,#N/A,#N/A,68,111,301,40,#N/A,#N/A,653,#N/A,#N/A,#N/A
149,10.02.12 04:00,12,469,#N/A,#N/A,68,112,301,41,#N/A,#N/A,653,#N/A,#N/A,#N/A
150,10.02.12 06:00,12,469,#N/A,#N/A,68,113,304,42,#N/A,#N/A,653,#N/A,#N/A,#N/A
151,10.02.12 08:00,12,469,#N/A,#N/A,68,115,305,44,#N/A,#N/A,653,#N/A,#N/A,#N/A
152,10.02.12 10:00,12,469,#N/A,#N/A,68,115,305,44,#N/A,#N/A,639,#N/A,#N/A,#N/A
153,10.02.12 12:00,12,473,#N/A,#N/A,68,115,305,45,#N/A,#N/A,687,#N/A,#N/A,#N/A
154,10.02.12 14:00,12,473,#N/A,#N/A,68,115,305,45,#N/A,#N/A,687,#N/A,#N/A,#N/A
155,10.02.12 16:00,12,473,#N/A,#N/A,68,115,306,46,#N/A,#N/A,687,#N/A,#N/A,#N/A
156,10.02.12 18:00,12,473,#N/A,#N/A,68,116,300,30,#N/A,#N/A,687,#N/A,#N/A,#N/A
157,10.02.12 20:00,12,473,#N/A,#N/A,68,116,300,31,#N/A,#N/A,687,#N/A,#N/A,#N/A
158,10.02.12 22:00,12,473,#N/A,#N/A,68,112,287,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
159,10.03.12 00:00,12,473,#N/A,#N/A,68,113,287,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
160,10.03.12 02:00,12,473,#N/A,#N/A,68,113,289,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
161,10.03.12 04:00,12,473,#N/A,#N/A,68,113,290,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
162,10.03.12 06:00,12,473,#N/A,#N/A,68,113,290,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
163,10.03.12 08:00,12,473,#N/A,#N/A,68,114,290,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
164,10.03.12 10:00,12,473,#N/A,#N/A,68,114,290,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
165,10.03.12 12:00,12,473,#N/A,#N/A,68,115,292,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
166,10.03.12 14:00,12,473,#N/A,#N/A,68,115,293,0,#N/A,#N/A,680,#N/A,#N/A,#N/A
167,10.03.12 16:00,12,473,#N/A,#N/A,68,115,293,3,#N/A,#N/A,680,#N/A,#N/A,#N/A
168,10.03.12 18:00,12,473,#N/A,#N/A,68,115,294,3,#N/A,#N/A,680,#N/A,#N/A,#N/A
169,10.03.12 20:00,12,473,#N/A,#N/A,68,116,295,6,#N/A,#N/A,680,#N/A,#N/A,#N/A
170,10.03.12 22:00,12,473,#N/A,#N/A,68,116,295,8,#N/A,#N/A,680,#N/A,#N/A,#N/A
171,10.04.12 00:00,12,473,#N/A,#N/A,68,116,295,9,#N/A,#N/A,680,#N/A,#N/A,#N/A
172,10.04.12 02:00,12,473,#N/A,#N/A,68,117,295,10,#N/A,#N/A,680,#N/A,#N/A,#N/A
173,10.04.12 04:00,12,473,#N/A,#N/A,68,117,295,10,#N/A,#N/A,673,#N/A,#N/A,#N/A
174,10.04.12 06:00,12,473,#N/A,#N/A,68,118,297,11,#N/A,#N/A,673,#N/A,#N/A,#N/A
175,10.04.12 08:00,12,473,#N/A,#N/A,68,118,297,11,#N/A,#N/A,673,#N/A,#N/A,#N/A
176,10.04.12 10:00,12,473,#N/A,#N/A,68,118,298,12,#N/A,#N/A,660,#N/A,#N/A,#N/A
177,10.04.12 12:00,12,473,#N/A,#N/A,68,118,298,12,#N/A,#N/A,660,#N/A,#N/A,#N/A
178,10.04.12 14:00,12,473,#N/A,#N/A,68,119,299,12,#N/A,#N/A,660,#N/A,#N/A,#N/A
179,10.04.12 16:00,12,473,#N/A,#N/A,68,119,299,13,#N/A,#N/A,660,#N/A,#N/A,#N/A
180,10.04.12 18:00,12,473,#N/A,#N/A,68,119,300,14,#N/A,#N/A,660,#N/A,#N/A,#N/A
181,10.04.12 20:00,12,473,#N/A,#N/A,68,119,300,14,#N/A,#N/A,660,#N/A,#N/A,#N/A
182,10.04.12 22:00,12,473,#N/A,#N/A,68,119,300,14,#N/A,#N/A,660,#N/A,#N/A,#N/A
183,10.05.12 00:00,12,473,#N/A,#N/A,68,119,300,14,#N/A,#N/A,660,#N/A,#N/A,#N/A
184,10.05.12 02:00,12,473,#N/A,#N/A,68,119,300,14,#N/A,#N/A,653,#N/A,#N/A,#N/A
185,10.05.12 04:00,12,473,#N/A,#N/A,68,119,300,15,#N/A,#N/A,653,#N/A,#N/A,#N/A
186,10.05.12 06:00,12,473,#N/A,#N/A,68,119,301,16,#N/A,#N/A,653,#N/A,#N/A,#N/A
187,10.05.12 08:00,12,473,#N/A,#N/A,68,119,301,16,#N/A,#N/A,653,#N/A,#N/A,#N/A
188,10.05.12 10:00,12,473,#N/A,#N/A,68,119,301,16,#N/A,#N/A,653,#N/A,#N/A,#N/A
189,10.05.12 12:00,12,473,#N/A,#N/A,68,119,301,16,#N/A,#N/A,660,#N/A,#N/A,#N/A
190,10.05.12 14:00,12,473,#N/A,#N/A,68,119,301,17,#N/A,#N/A,660,#N/A,#N/A,#N/A
191,10.05.12 16:00,12,473,#N/A,#N/A,68,81,301,17,#N/A,#N/A,653,#N/A,#N/A,#N/A
192,10.05.12 18:00,12,473,#N/A,#N/A,68,83,299,18,#N/A,#N/A,653,#N/A,#N/A,#N/A
193,10.05.12 20:00,12,466,#N/A,#N/A,68,87,300,19,#N/A,#N/A,653,#N/A,#N/A,#N/A
194,10.05.12 22:00,12,466,#N/A,#N/A,68,88,300,19,#N/A,#N/A,653,#N/A,#N/A,#N/A
195,10.06.12 00:00,12,466,#N/A,#N/A,68,88,300,19,#N/A,#N/A,646,#N/A,#N/A,#N/A
196,10.06.12 02:00,12,466,#N/A,#N/A,68,89,300,19,#N/A,#N/A,646,#N/A,#N/A,#N/A
197,10.06.12 04:00,12,466,#N/A,#N/A,68,90,300,19,#N/A,#N/A,646,#N/A,#N/A,#N/A
198,10.06.12 06:00,12,466,#N/A,#N/A,68,92,301,20,#N/A,#N/A,639,#N/A,#N/A,#N/A
199,10.06.12 08:00,12,466,#N/A,#N/A,68,94,302,20,#N/A,#N/A,639,#N/A,#N/A,#N/A
200,10.06.12 10:00,12,466,#N/A,#N/A,68,94,303,21,#N/A,#N/A,639,#N/A,#N/A,#N/A
201,10.06.12 12:00,12,466,#N/A,#N/A,68,95,303,21,#N/A,#N/A,646,#N/A,#N/A,#N/A
202,10.06.12 14:00,12,473,#N/A,#N/A,68,95,304,21,#N/A,#N/A,646,#N/A,#N/A,#N/A
203,10.06.12 16:00,12,473,#N/A,#N/A,68,96,304,21,#N/A,#N/A,653,#N/A,#N/A,#N/A
204,10.06.12 18:00,12,473,#N/A,#N/A,68,96,304,22,#N/A,#N/A,660,#N/A,#N/A,#N/A
205,10.06.12 20:00,12,473,#N/A,#N/A,68,97,304,22,#N/A,#N/A,660,#N/A,#N/A,#N/A
206,10.06.12 22:00,12,473,#N/A,#N/A,68,97,304,22,#N/A,#N/A,667,#N/A,#N/A,#N/A
207,10.07.12 00:00,12,473,#N/A,#N/A,68,97,304,22,#N/A,#N/A,667,#N/A,#N/A,#N/A
208,10.07.12 02:00,12,473,#N/A,#N/A,68,98,304,22,#N/A,#N/A,667,#N/A,#N/A,#N/A
209,10.07.12 04:00,12,473,#N/A,#N/A,68,99,304,22,#N/A,#N/A,667,#N/A,#N/A,#N/A
210,10.07.12 06:00,12,473,#N/A,#N/A,68,100,304,23,#N/A,#N/A,667,#N/A,#N/A,#N/A
211,10.07.12 08:00,12,473,#N/A,#N/A,68,100,305,24,#N/A,#N/A,660,#N/A,#N/A,#N/A
212,10.07.12 10:00,12,473,#N/A,#N/A,68,100,305,24,#N/A,#N/A,639,#N/A,#N/A,#N/A
213,10.07.12 12:00,12,473,#N/A,#N/A,68,100,305,24,#N/A,#N/A,646,#N/A,#N/A,#N/A
214,10.07.12 14:00,12,466,#N/A,#N/A,68,102,305,25,#N/A,#N/A,646,#N/A,#N/A,#N/A
215,10.07.12 16:00,12,466,#N/A,#N/A,68,102,306,25,#N/A,#N/A,653,#N/A,#N/A,#N/A
216,10.07.12 18:00,12,466,#N/A,#N/A,68,102,306,25,#N/A,#N/A,653,#N/A,#N/A,#N/A
217,10.07.12 20:00,12,466,#N/A,#N/A,68,104,307,25,#N/A,#N/A,653,#N/A,#N/A,#N/A
218,10.07.12 22:00,12,466,#N/A,#N/A,68,104,307,25,#N/A,#N/A,653,#N/A,#N/A,#N/A
