U1_16RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
2265,10.20.19 8:00 PM,14.5,529,710,10432,91,0,78,0,22,0,915,198,123,64,105,46
2266,10.20.19 10:00 PM,14.5,529,710,10432,91,0,78,0,22,0,915,198,123,63.9,105,46
2267,10.21.19 12:00 AM,14.5,529,710,10432,91,0,78,0,22,0,915,198,123,63.9,105,46
2268,10.21.19 2:00 AM,14.5,529,710,10432,91,0,79,0,22,0,915,198,123,63.8,105,46
2269,10.21.19 4:00 AM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.9,105,46
2270,10.21.19 6:00 AM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.8,105,46
2271,10.21.19 8:00 AM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.8,105,46
2272,10.21.19 10:00 AM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.8,105,46
2273,10.21.19 12:00 PM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.8,105,46
2274,10.21.19 2:00 PM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.8,105,46
2275,10.21.19 4:00 PM,14.5,529,710,10431,91,0,79,0,22,0,915,198,123,63.7,105,46
2276,10.21.19 6:00 PM,14.5,529,710,10430,91,0,79,0,22,0,915,198,123,63.7,105,46
2277,10.21.19 8:00 PM,14.5,529,710,10430,91,0,79,0,22,0,915,198,123,63.7,105,46
2278,10.21.19 10:00 PM,14.5,529,710,10430,91,0,79,0,22,0,915,198,123,63.7,105,46
2279,10.22.19 12:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2280,10.22.19 2:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2281,10.22.19 4:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2282,10.22.19 6:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2283,10.22.19 8:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2284,10.22.19 10:00 AM,14.5,529,710,10429,91,0,79,0,22,0,915,198,123,63.7,105,46
2285,10.22.19 12:00 PM,14.5,529,710,10428,91,0,79,0,22,0,915,198,123,63.7,105,46
2286,10.22.19 2:00 PM,14.5,529,710,10428,91,0,79,0,22,0,915,198,123,63.8,105,46
2287,10.22.19 4:00 PM,14.5,529,710,10428,91,0,80,0,22,0,915,198,123,63.8,105,46
2288,10.22.19 6:00 PM,14.5,529,710,10427,91,0,80,0,22,0,915,198,123,63.8,105,46
2289,10.22.19 8:00 PM,14.5,529,710,10427,91,0,80,0,22,0,915,198,123,63.9,105,46
2290,10.22.19 10:00 PM,14.5,529,710,10428,91,0,80,0,22,0,915,198,123,63.9,105,46
2291,10.23.19 12:00 AM,14.5,529,710,10428,91,0,80,0,22,0,915,198,123,63.9,105,46
2292,10.23.19 2:00 AM,14.5,529,710,10428,91,0,80,0,22,0,915,198,123,63.9,105,46
2293,10.23.19 4:00 AM,14.5,529,710,10427,91,0,80,0,22,0,915,198,123,64,105,46
2294,10.23.19 6:00 AM,14.5,529,710,10427,91,0,80,0,22,0,912,198,123,64,105,46
2295,10.23.19 8:00 AM,14.5,529,710,10428,91,0,80,0,22,0,912,198,123,64,105,46
2296,10.23.19 10:00 AM,14.5,529,710,10427,91,0,80,0,22,0,912,198,123,64,105,46
2297,10.23.19 12:00 PM,14.5,529,710,10427,91,0,80,0,22,0,912,198,123,64,105,46
2298,10.23.19 2:00 PM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2299,10.23.19 4:00 PM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2300,10.23.19 6:00 PM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2301,10.23.19 8:00 PM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2302,10.23.19 10:00 PM,14.5,529,709,10425,91,0,80,0,22,0,912,198,123,64.1,105,46
2303,10.24.19 12:00 AM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2304,10.24.19 2:00 AM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2305,10.24.19 4:00 AM,14.5,529,709,10426,91,0,80,0,22,0,912,198,123,64.1,105,46
2306,10.24.19 6:00 AM,14.5,529,709,10425,91,0,80,0,22,0,912,198,123,64.1,105,46
2307,10.24.19 8:00 AM,14.5,529,709,10425,91,0,80,0,22,0,912,198,123,64.1,105,46
2308,10.24.19 10:00 AM,14.5,528,709,10425,91,0,81,0,22,0,908,198,123,64.1,105,46
2309,10.24.19 12:00 PM,14.5,528,709,10425,91,0,81,0,22,0,908,198,123,64.1,105,46
2310,10.24.19 2:00 PM,14.5,528,709,10425,91,0,81,0,22,0,908,198,123,64.1,105,46
2311,10.24.19 4:00 PM,14.5,528,709,10425,91,0,81,0,22,0,908,198,123,64,105,46
2312,10.24.19 6:00 PM,14.5,528,709,10424,91,0,81,0,22,0,908,198,123,64,105,46
2313,10.24.19 8:00 PM,14.5,528,709,10424,91,0,81,0,22,0,912,198,123,64.1,105,46
2314,10.24.19 10:00 PM,14.5,528,709,10424,91,0,81,0,22,0,912,198,123,64.1,105,46
2315,10.25.19 12:00 AM,14.5,528,709,10424,91,0,81,0,22,0,912,198,123,64,105,46
2316,10.25.19 2:00 AM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.2,105,46
2317,10.25.19 4:00 AM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.2,105,46
2318,10.25.19 6:00 AM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.2,105,46
2319,10.25.19 8:00 AM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.2,105,46
2320,10.25.19 10:00 AM,14.5,528,709,10422,91,0,81,0,23,0,912,198,123,64.1,105,46
2321,10.25.19 12:00 PM,14.5,528,709,10422,91,0,81,0,23,0,912,198,123,64.1,105,46
2322,10.25.19 2:00 PM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.2,105,46
2323,10.25.19 4:00 PM,14.5,528,709,10423,91,0,81,0,23,0,912,198,123,64.3,105,46
2324,10.25.19 6:00 PM,14.5,528,709,10422,91,0,81,0,23,0,912,198,123,64.3,105,46
2325,10.25.19 8:00 PM,14.5,528,709,10422,91,0,82,0,23,0,912,198,123,64.3,105,46
2326,10.25.19 10:00 PM,14.5,528,709,10422,91,0,82,0,23,0,912,198,123,64.3,105,46
2327,10.26.19 12:00 AM,14.5,528,709,10421,91,0,82,0,23,0,912,198,123,64.3,105,46
2328,10.26.19 2:00 AM,14.5,528,709,10421,91,0,82,0,23,0,912,198,123,64.2,105,46
2329,10.26.19 4:00 AM,14.5,528,709,10421,91,0,82,0,23,0,912,198,123,64.1,105,46
2330,10.26.19 6:00 AM,14.5,528,709,10421,91,0,82,0,23,0,908,198,123,64.3,105,46
2331,10.26.19 8:00 AM,14.5,528,709,10421,91,0,82,0,23,0,908,198,123,64.3,105,46
2332,10.26.19 10:00 AM,14.5,528,709,10422,91,0,82,0,23,0,908,198,123,64.3,105,46
2333,10.26.19 12:00 PM,14.5,528,709,10421,91,0,82,0,23,0,908,198,123,64.1,105,46
2334,10.26.19 2:00 PM,14.5,528,709,10421,91,0,82,0,23,0,908,198,123,64.1,105,46
2335,10.26.19 4:00 PM,14.5,528,709,10420,91,0,82,0,23,0,908,198,123,64.1,105,46
2336,10.26.19 6:00 PM,14.5,528,709,10420,91,0,82,0,23,0,908,198,123,64.2,105,46
2337,10.26.19 8:00 PM,14.5,528,709,10420,91,0,82,0,23,0,908,198,123,64.2,105,46
2338,10.26.19 10:00 PM,14.5,528,709,10420,91,0,82,0,23,0,908,198,123,64.1,105,46
2339,10.27.19 12:00 AM,14.5,528,709,10420,91,0,82,0,23,0,908,198,123,64.1,105,46
2340,10.27.19 2:00 AM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2341,10.27.19 4:00 AM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2342,10.27.19 6:00 AM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2343,10.27.19 8:00 AM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2344,10.27.19 10:00 AM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2345,10.27.19 12:00 PM,14.5,528,709,10420,91,0,82,0,24,0,908,198,123,64.1,105,46
2346,10.27.19 2:00 PM,14.5,528,709,10419,91,0,82,0,24,0,908,198,123,64.1,105,46
2347,10.27.19 4:00 PM,14.5,528,709,10419,91,0,82,0,24,0,908,198,123,64.2,105,46
2348,10.27.19 6:00 PM,14.5,528,709,10418,91,0,82,0,24,0,908,198,123,64.2,105,46
2349,10.27.19 8:00 PM,14.5,528,709,10418,91,0,83,0,24,0,908,198,123,64.2,105,46
2350,10.27.19 10:00 PM,14.5,528,709,10418,91,0,83,0,24,0,908,198,123,64.1,105,46
2351,10.28.19 12:00 AM,14.5,528,709,10418,91,0,83,0,24,0,908,198,123,64.3,105,46
2352,10.28.19 2:00 AM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.4,105,46
2353,10.28.19 4:00 AM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.5,105,46
2354,10.28.19 6:00 AM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.5,105,46
2355,10.28.19 8:00 AM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.5,105,46
2356,10.28.19 10:00 AM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.5,105,46
2357,10.28.19 12:00 PM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.5,105,46
2358,10.28.19 2:00 PM,14.5,528,709,10418,91,0,83,0,24,0,905,198,123,64.6,105,46
2359,10.28.19 4:00 PM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.6,105,46
2360,10.28.19 6:00 PM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.5,105,46
2361,10.28.19 8:00 PM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.6,105,46
2362,10.28.19 10:00 PM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.7,105,46
2363,10.29.19 12:00 AM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.7,105,46
2364,10.29.19 2:00 AM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.7,105,46
2365,10.29.19 4:00 AM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.8,105,46
2366,10.29.19 6:00 AM,14.5,528,709,10417,91,0,83,0,24,0,905,198,123,64.8,105,46
2367,10.29.19 8:00 AM,14.5,528,709,10416,91,0,83,0,24,0,905,198,123,64.8,105,46
2368,10.29.19 10:00 AM,14.5,528,709,10416,91,0,83,0,24,0,905,198,123,64.9,105,46
2369,10.29.19 12:00 PM,14.5,528,709,10416,91,0,83,0,24,0,905,198,123,64.9,105,46
2370,10.29.19 2:00 PM,14.5,528,709,10416,91,0,83,0,24,0,905,198,123,64.8,105,46
2371,10.29.19 4:00 PM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.7,105,46
2372,10.29.19 6:00 PM,14.5,528,709,10416,91,0,83,0,24,0,905,198,123,64.6,105,46
2373,10.29.19 8:00 PM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.7,105,46
2374,10.29.19 10:00 PM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.6,105,46
2375,10.30.19 12:00 AM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.6,105,46
2376,10.30.19 2:00 AM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.7,105,47
2377,10.30.19 4:00 AM,14.5,528,709,10415,91,0,83,0,24,0,905,198,123,64.7,105,47
2378,10.30.19 6:00 AM,14.5,528,709,10415,91,0,83,0,24,0,901,198,123,64.7,105,47
2379,10.30.19 8:00 AM,14.5,528,709,10415,91,0,83,0,24,0,901,198,123,64.7,105,47
2380,10.30.19 10:00 AM,14.5,528,709,10415,91,0,83,0,24,0,901,198,123,64.7,105,47
2381,10.30.19 12:00 PM,14.5,536,714,10498,91,0,83,0,24,0,901,152,102,62.5,105,46
2382,10.30.19 2:00 PM,14.5,556,729,10711,87,0,81,0,24,0,898,205,122,55.9,105,42
2383,10.30.19 4:00 PM,14.5,567,738,10848,78,0,75,0,24,0,884,210,123,57.7,105,40
2384,10.30.19 6:00 PM,14.5,565,736,10820,73,0,71,0,24,0,884,218,140,55.8,105,41
2385,10.30.19 8:00 PM,14.5,565,737,10826,71,0,68,0,24,0,878,218,140,54.8,105,41
2386,10.30.19 10:00 PM,14.5,565,737,10831,69,0,67,0,21,0,881,218,140,55.7,105,41
2387,10.31.19 12:00 AM,14.5,565,737,10835,68,0,66,0,20,0,878,218,140,55.9,105,41
2388,10.31.19 2:00 AM,14.5,565,737,10838,67,0,64,0,20,0,878,218,140,56,105,41
2389,10.31.19 4:00 AM,14.5,565,738,10841,67,0,64,0,20,0,878,218,140,56.1,105,41
2390,10.31.19 6:00 AM,14.5,566,738,10843,66,0,63,0,20,0,867,218,140,56.1,105,41
2391,10.31.19 8:00 AM,14.5,564,737,10832,65,0,62,0,20,0,867,240,140,56.3,105,38
2392,10.31.19 10:00 AM,14.5,564,737,10825,66,0,63,0,20,0,867,230,150,57.7,105,40
2393,10.31.19 12:00 PM,14.5,560,733,10778,67,0,63,0,20,0,867,228,145,50.2,105,40
2394,10.31.19 2:00 PM,14.5,548,725,10654,71,0,65,0,20,0,867,225,143,52.7,105,40
2395,10.31.19 4:00 PM,14.5,534,716,10519,77,0,69,0,20,0,871,211,135,58.6,105,42
2396,10.31.19 6:00 PM,14.5,527,709,10423,83,0,74,0,20,0,871,199,125,61.9,105,44
2397,10.31.19 8:00 PM,14.5,527,709,10422,86,0,77,0,20,0,871,199,125,61.9,105,44
2398,10.31.19 10:00 PM,14.5,527,709,10417,88,0,79,0,20,0,881,199,125,62,105,44
2399,11.01.19 00:00,14.5,527,709,10413,88,0,80,0,20,0,881,199,125,62,105,44
2400,11.01.19 02:00,14.5,526,708,10410,89,0,81,0,20,0,891,199,125,62.1,105,44
2401,11.01.19 04:00,14.5,526,708,10408,90,0,81,0,20,0,898,199,125,62.1,105,45
2402,11.01.19 06:00,14.5,526,708,10406,90,0,82,0,20,0,901,199,125,62.1,105,45
2403,11.01.19 08:00,14.5,526,708,10404,90,0,82,0,20,0,901,199,125,62.3,105,45
2404,11.01.19 10:00,14.5,526,708,10404,90,0,83,0,20,0,901,199,125,62.6,105,46
2405,11.01.19 12:00,14.5,526,708,10403,91,0,83,0,20,0,901,199,125,62.6,105,46
2406,11.01.19 14:00,14.5,526,708,10403,91,0,83,0,20,0,901,199,125,62.6,105,46
2407,11.01.19 16:00,14.5,526,708,10402,91,0,84,0,20,0,901,199,125,62.6,105,46
2408,11.01.19 18:00,14.5,526,708,10404,91,0,84,0,21,0,901,199,125,62.6,105,46
2409,11.01.19 20:00,14.5,526,708,10403,91,0,84,0,22,0,901,199,125,62.6,105,46
2410,11.01.19 22:00,14.5,526,708,10402,91,0,84,0,22,0,901,199,125,62.6,105,46
2411,11.02.19 00:00,14.5,526,708,10401,91,0,84,0,22,0,901,199,125,62.7,105,46
2412,11.02.19 02:00,14.5,526,708,10401,91,0,84,0,22,0,901,199,125,62.8,105,46
2413,11.02.19 04:00,14.5,526,708,10400,91,0,84,0,22,0,901,199,125,63,105,46
2414,11.02.19 06:00,14.5,526,708,10399,91,0,84,0,22,0,901,199,125,63,105,46
2415,11.02.19 08:00,14.5,526,708,10399,91,0,84,0,22,0,901,199,125,63.1,105,46
2416,11.02.19 10:00,14.5,558,730,10730,88,0,82,0,22,0,901,135,90,54,105,42
2417,11.02.19 12:00,14.5,558,730,10730,88,0,82,0,22,0,901,135,90,54,105,42
2418,11.02.19 14:00,14.5,602,767,11279,#N/A,0,#N/A,0,22,0,#N/A,#N/A,#N/A,#N/A,104,#N/A
2419,11.02.19 16:00,14.5,602,769,11298,#N/A,0,#N/A,0,22,0,#N/A,#N/A,#N/A,#N/A,103,#N/A
2420,11.02.19 18:00,14.5,599,767,11273,10,0,32,0,18,0,837,41,40,34.7,102,6
2421,11.02.19 20:00,14.5,586,759,11147,8,0,28,0,18,0,837,75,52,37.9,103,21
2422,11.02.19 22:00,14.5,579,752,11045,14,0,29,0,16,0,844,130,81,41.6,104,25
2423,11.03.19 00:00,14.5,568,742,10910,27,0,33,0,14,0,850,197,126,46.4,104,29
2424,11.03.19 02:00,14.5,560,734,10793,43,0,41,0,12,0,871,199,126,51.6,105,33
2425,11.03.19 04:00,14.5,549,727,10678,54,0,48,0,11,0,884,199,126,55.8,105,36
2426,11.03.19 06:00,14.5,539,719,10563,65,0,56,0,11,0,905,199,126,59.3,105,39
2427,11.03.19 08:00,14.5,539,712,10463,74,0,63,0,11,0,912,198,125,62.5,105,41
2428,11.03.19 10:00,14.5,528,710,10436,80,0,69,0,11,0,929,199,126,63.4,105,44
2429,11.03.19 12:00,14.5,528,710,10429,83,0,73,0,11,0,939,199,126,63.5,105,44
2430,11.03.19 14:00,14.5,528,709,10424,85,0,75,0,12,0,942,199,126,63.5,105,45
2431,11.03.19 16:00,14.5,527,709,10419,86,0,77,0,15,0,942,199,126,63.7,105,45
2432,11.03.19 18:00,14.5,527,709,10416,87,0,78,0,18,0,942,199,126,63.7,105,46
2433,11.03.19 20:00,14.5,527,709,10414,88,0,79,0,18,0,949,199,126,63.4,105,46
2434,11.03.19 22:00,14.5,527,708,10412,88,0,80,0,18,0,949,199,126,63.3,105,46
2435,11.04.19 00:00,14.5,527,708,10410,89,0,81,0,18,0,949,199,126,63.2,105,46
2436,11.04.19 02:00,14.5,527,708,10408,89,0,82,0,19,0,949,199,126,63.2,105,46
2437,11.04.19 04:00,14.5,527,708,10407,89,0,82,0,20,0,949,199,126,63.2,105,46
2438,11.04.19 06:00,14.5,527,708,10405,90,0,82,0,20,0,949,199,126,63.3,105,46
2439,11.04.19 08:00,14.5,527,708,10404,90,0,83,0,20,0,949,199,126,63.3,105,46
2440,11.04.19 10:00,14.5,527,708,10403,90,0,83,0,20,0,949,199,126,63.2,105,46
2441,11.04.19 12:00,14.5,527,708,10402,90,0,83,0,20,0,949,199,126,63.4,105,46
2442,11.04.19 14:00,14.5,527,708,10402,90,0,83,0,20,0,949,199,126,63.4,105,46
2443,11.04.19 16:00,14.5,527,708,10402,90,0,84,0,20,0,949,199,126,63.6,105,46
2444,11.04.19 18:00,14.5,527,708,10401,91,0,84,0,21,0,949,199,126,63.8,105,46
2445,11.04.19 20:00,14.5,526,708,10400,91,0,84,0,21,0,952,199,126,63.8,105,46
2446,11.04.19 22:00,14.5,526,708,10399,91,0,84,0,21,0,952,199,126,63.6,105,46
2447,11.05.19 00:00,14.5,526,708,10398,91,0,84,0,21,0,952,199,126,63.7,105,46
2448,11.05.19 02:00,14.5,526,708,10398,91,0,84,0,21,0,952,199,126,63.6,105,46
2449,11.05.19 04:00,14.5,526,707,10397,91,0,84,0,21,0,952,199,126,63.6,105,46
2450,11.05.19 06:00,14.5,526,707,10396,91,0,84,0,21,0,952,199,126,63.6,105,46
2451,11.05.19 08:00,14.5,526,707,10396,91,0,85,0,21,0,952,199,126,63.6,105,46
2452,11.05.19 10:00,14.5,526,707,10394,91,0,85,0,21,0,952,199,126,63.6,105,46
2453,11.05.19 12:00,14.5,526,707,10392,91,0,85,0,21,0,952,199,126,63.7,105,46
2454,11.05.19 14:00,14.5,526,707,10392,91,0,85,0,21,0,952,199,126,63.9,105,46
2455,11.05.19 16:00,14.5,526,707,10391,91,0,85,0,21,0,952,199,126,63.8,105,46
2456,11.05.19 18:00,14.5,526,707,10391,91,0,85,0,21,0,952,199,126,63.8,105,46
2457,11.05.19 20:00,14.5,526,707,10390,91,0,85,0,22,0,952,199,126,63.7,105,46
2458,11.05.19 22:00,14.5,526,707,10390,91,0,86,0,23,0,952,199,126,63.7,105,46
2459,11.06.19 00:00,14.5,526,707,10390,91,0,86,0,23,0,952,199,126,63.7,105,46
2460,11.06.19 02:00,14.5,526,707,10389,92,0,86,0,23,0,952,199,126,63.8,105,46
2461,11.06.19 04:00,14.5,526,707,10388,92,0,86,0,23,0,952,199,126,64,105,46
2462,11.06.19 06:00,14.5,526,707,10388,92,0,86,0,23,0,952,199,126,64.2,105,47
2463,11.06.19 08:00,14.5,526,707,10387,92,0,86,0,23,0,952,199,126,64.2,105,47
2464,11.06.19 10:00,14.5,526,707,10387,92,0,86,0,24,0,952,199,126,64.1,105,47
2465,11.06.19 12:00,14.5,526,707,10387,92,0,86,0,24,0,952,199,126,64.1,105,47
2466,11.06.19 14:00,14.5,526,707,10386,92,0,86,0,24,0,952,199,126,64.3,105,47
2467,11.06.19 16:00,14.5,526,707,10386,92,0,86,0,24,0,952,199,126,64.5,105,47
2468,11.06.19 18:00,14.5,526,707,10385,92,0,86,0,24,0,952,199,126,64.8,105,47
2469,11.06.19 20:00,14.5,526,707,10385,92,0,86,0,24,0,952,199,126,64.8,105,47
2470,11.06.19 22:00,14.5,526,707,10385,92,0,87,0,24,0,952,199,126,64.6,105,47
2471,11.07.19 00:00,14.5,526,707,10385,92,0,87,0,25,0,952,199,126,64.5,105,47
2472,11.07.19 02:00,14.5,526,707,10384,92,0,87,0,25,0,952,199,126,64.4,105,47
2473,11.07.19 04:00,14.5,525,707,10384,92,0,87,0,25,0,952,199,126,64.4,105,47
2474,11.07.19 06:00,14.5,525,707,10383,92,0,87,0,25,0,952,199,126,64.4,105,47
2475,11.07.19 08:00,14.5,525,707,10383,92,0,87,0,25,0,952,199,126,64.4,105,47
2476,11.07.19 10:00,14.5,525,707,10383,92,0,87,0,25,0,952,199,126,64.4,105,47
2477,11.07.19 12:00,14.5,525,707,10383,92,0,87,0,25,0,952,199,126,64.3,105,47
2478,11.07.19 14:00,14.5,525,707,10383,92,0,87,0,25,0,952,199,126,64.3,105,47
2479,11.07.19 16:00,14.5,525,706,10382,92,0,87,0,25,0,952,199,126,64.3,105,47
2480,11.07.19 18:00,14.5,525,706,10382,92,0,87,0,25,0,952,199,126,64.4,105,47
2481,11.07.19 20:00,14.5,525,706,10381,92,0,87,0,25,0,952,199,126,64.3,105,47
2482,11.07.19 22:00,14.5,525,706,10381,92,0,87,0,25,0,952,199,126,64.3,105,47
2483,11.08.19 00:00,14.5,525,706,10380,92,0,87,0,25,0,952,199,126,64.4,105,47
2484,11.08.19 02:00,14.5,525,706,10380,92,0,87,0,25,0,952,199,126,64.4,105,47
2485,11.08.19 04:00,14.5,525,706,10380,92,0,87,0,25,0,952,199,126,64.5,105,47
2486,11.08.19 06:00,14.5,525,706,10380,92,0,87,0,25,0,952,199,126,64.7,105,47
2487,11.08.19 08:00,14.5,525,706,10380,92,0,87,0,25,0,952,199,126,64.7,105,47
2488,11.08.19 10:00,14.5,525,706,10379,92,0,87,0,25,0,952,199,126,64.7,105,47
2489,11.08.19 12:00,14.5,525,706,10379,92,0,87,0,25,0,952,199,126,64.8,105,47
2490,11.08.19 14:00,14.5,525,706,10379,92,0,87,0,25,0,952,199,126,64.9,105,47
2491,11.08.19 16:00,14.5,525,706,10378,92,0,87,0,25,0,952,199,126,64.9,105,47
2492,11.08.19 18:00,14.5,525,706,10378,92,0,87,0,26,0,952,199,126,65,105,47
2493,11.08.19 20:00,14.5,525,706,10378,92,0,87,0,26,0,952,199,126,65,105,47
2494,11.08.19 22:00,14.5,525,706,10377,92,0,87,0,26,0,952,199,126,64.9,105,47
2495,11.09.19 00:00,14.5,525,706,10377,92,0,87,0,26,0,952,199,126,64.8,105,47
2496,11.09.19 02:00,14.5,525,706,10377,92,0,87,0,26,0,952,199,126,64.7,105,47
2497,11.09.19 04:00,14.5,525,706,10377,92,0,88,0,26,0,952,199,126,64.7,105,47
2498,11.09.19 06:00,14.5,525,706,10377,92,0,88,0,26,0,952,199,126,64.8,105,47
2499,11.09.19 08:00,14.5,525,706,10376,92,0,88,0,26,0,952,199,126,64.8,105,47
2500,11.09.19 10:00,14.5,525,706,10376,92,0,88,0,27,0,952,199,126,64.8,105,47
2501,11.09.19 12:00,14.5,525,706,10376,92,0,88,0,27,0,952,199,126,64.8,105,47
2502,11.09.19 14:00,14.5,525,706,10375,92,0,88,0,27,0,952,199,126,64.8,105,47
2503,11.09.19 16:00,14.5,525,706,10375,92,0,88,0,27,0,952,199,126,65,105,47
2504,11.09.19 18:00,14.5,525,706,10375,92,0,88,0,27,0,952,199,126,65.2,105,47
2505,11.09.19 20:00,14.5,525,706,10375,92,0,88,0,27,0,952,199,126,65,105,47
2506,11.09.19 22:00,14.5,525,706,10374,92,0,88,0,27,0,952,199,126,64.9,105,47
2507,11.10.19 00:00,14.5,525,706,10374,92,0,88,0,27,0,952,199,126,64.7,105,47
2508,11.10.19 02:00,14.5,525,706,10374,92,0,88,0,27,0,952,199,126,64.7,105,47
2509,11.10.19 04:00,14.5,525,706,10373,92,0,88,0,27,0,952,199,126,64.8,105,47
2510,11.10.19 06:00,14.5,525,706,10373,92,0,88,0,27,0,952,199,126,64.8,105,47
2511,11.10.19 08:00,14.5,525,706,10373,92,0,88,0,27,0,952,199,126,64.9,105,47
2512,11.10.19 10:00,14.5,525,706,10373,92,0,88,0,27,0,952,199,126,64.9,105,47
2513,11.10.19 12:00,14.5,525,706,10372,92,0,88,0,27,0,952,199,126,64.9,105,47
2514,11.10.19 14:00,14.5,525,706,10372,92,0,88,0,27,0,952,199,126,64.9,105,47
2515,11.10.19 16:00,14.5,525,706,10372,92,0,88,0,27,0,952,199,126,64.9,105,47
2516,11.10.19 18:00,14.5,525,706,10371,92,0,88,0,27,0,952,199,126,64.9,105,47
2517,11.10.19 20:00,14.5,525,706,10371,92,0,88,0,27,0,952,199,126,64.8,105,47
2518,11.10.19 22:00,14.5,525,706,10371,92,0,88,0,27,0,952,199,126,64.7,105,47
2519,11.11.19 00:00,14.5,525,706,10371,92,0,88,0,27,0,952,199,126,64.6,105,47
2520,11.11.19 02:00,14.5,525,706,10371,92,0,88,0,27,0,949,199,126,64.5,105,47
2521,11.11.19 04:00,14.5,525,706,10371,92,0,89,0,27,0,949,199,126,64.5,105,47
2522,11.11.19 06:00,14.5,525,706,10370,92,0,89,0,27,0,949,199,126,64.5,105,47
2523,11.11.19 08:00,14.5,525,706,10370,92,0,89,0,27,0,949,199,126,64.5,105,47
2524,11.11.19 10:00,14.5,524,706,10370,92,0,89,0,27,0,946,199,126,64.7,105,47
2525,11.11.19 12:00,14.5,524,706,10370,92,0,89,0,27,0,946,199,126,64.7,105,47
2526,11.11.19 14:00,14.5,524,706,10370,92,0,89,0,27,0,946,199,126,64.7,105,47
2527,11.11.19 16:00,14.5,524,706,10370,92,0,89,0,27,0,946,199,126,64.8,105,47
2528,11.11.19 18:00,14.5,524,706,10369,92,0,89,0,27,0,946,199,126,64.8,105,47
2529,11.11.19 20:00,14.5,524,706,10369,92,0,89,0,27,0,946,199,126,64.9,105,47
2530,11.11.19 22:00,14.5,524,706,10369,92,0,89,0,27,0,946,199,126,64.9,105,47
2531,11.12.19 00:00,14.5,524,706,10369,92,0,89,0,27,0,946,199,126,64.9,105,47
