U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
54,8.25.21 8:00,#N/A,522,675,9926,94,0,98,0,3,0,0,912,250,120,60.3,102,27
55,8.25.21 10:00,#N/A,522,675,9925,95,0,97,3,3,0,0,912,250,120,60.5,102,27
56,8.25.21 12:00,#N/A,522,675,9924,95,0,97,5,3,0,0,898,250,120,59.8,102,27
57,8.25.21 14:00,#N/A,522,675,9923,96,0,98,7,3,0,0,898,250,120,59.4,102,25
58,8.25.21 16:00,#N/A,522,675,9922,96,0,98,9,3,0,0,898,250,120,59.5,102,25
59,8.25.21 18:00,#N/A,522,675,9920,96,0,98,11,3,0,0,898,250,120,59.6,102,25
60,8.25.21 20:00,#N/A,522,675,9921,97,0,99,13,3,0,0,898,250,120,59.6,102,27
61,8.25.21 22:00,#N/A,522,675,9921,97,0,99,13,3,0,1,901,250,120,59.6,102,27
62,8.26.21 0:00,#N/A,522,675,9920,98,0,100,13,3,0,1,901,250,120,59.6,102,27
63,8.26.21 2:00,#N/A,522,675,9918,98,0,100,13,3,0,1,901,250,120,59.6,102,27
64,8.26.21 4:00,#N/A,522,675,9918,98,0,101,13,3,0,1,901,250,120,59.7,102,27
65,8.26.21 6:00,#N/A,522,675,9920,99,0,101,14,3,0,1,898,250,120,59.7,102,27
66,8.26.21 8:00,#N/A,522,675,9920,99,0,101,16,3,0,1,898,250,120,59.8,102,27
67,8.26.21 10:00,#N/A,522,675,9925,99,0,101,18,3,0,1,898,250,120,59.8,102,27
68,8.26.21 12:00,#N/A,522,675,9925,99,0,102,19,3,0,1,898,250,120,59.6,102,27
69,8.26.21 14:00,#N/A,522,675,9925,99,0,102,19,3,0,1,895,250,120,59.9,102,28
70,8.26.21 16:00,#N/A,522,675,9924,99,0,102,19,3,0,1,891,250,120,59.7,102,28
71,8.26.21 18:00,#N/A,522,675,9924,99,0,102,19,3,0,1,891,250,120,59.6,102,28
72,8.26.21 20:00,#N/A,522,675,9922,99,0,103,19,3,0,1,891,250,120,59.7,102,28
73,8.26.21 22:00,#N/A,522,675,9922,100,0,103,19,3,0,1,891,250,120,59.5,102,28
74,8.27.21 0:00,#N/A,522,675,9922,100,0,103,19,3,0,1,888,250,120,59.6,102,28
75,8.27.21 2:00,#N/A,522,675,9921,100,0,104,19,3,0,1,888,250,120,59.6,102,26
