Date,Well_Head_Pressure_(atm),Downhole_Gauge_Pressure_(atm),Downhole_Gauge_Pressure_(psi),BHFP_at_Top_Perf_(atm),WellBore_Dynamic_Fluid Density _(kg/m3),Daily_Gas_Production_(1000 m³/day),Daily_Condensate_Production_(ton/day),Daily_Water_Production_(ton/day),Daily_Liquid_Production_(ton/day),Total_Produced_Gas_(1000 m³),Total_Produced_Condensate_(ton),Total_Produced_Water_(ton),Total_Produced_Liquid_(ton)
04.12.19 00:00,#N/A,#N/A,#N/A,#N/A,#N/A,54,8,0,9,54,8,0,9
4.13.19 0:00,#N/A,#N/A,#N/A,#N/A,#N/A,1233,190,6,196,1287,198,7,205
4.14.19 0:00,515,750,11020,806,570,290,45,1,46,1577,243,8,251
4.15.19 0:00,582,757,11127,799,424,849,131,4,135,2426,373,12,386
4.16.19 0:00,581,755,11089,796,420,956,147,5,152,3382,520,17,538
4.17.19 0:00,586,759,11152,800,420,962,148,5,153,4344,668,22,690
4.18.19 0:00,586,759,11150,800,419,962,148,5,153,5306,816,27,843
4.19.19 0:00,586,759,11151,800,419,962,148,5,153,6268,964,32,996
4.20.19 0:00,586,759,11154,800,419,962,148,5,153,7230,1112,37,1149
4.21.19 0:00,586,759,11155,800,420,962,148,5,153,8192,1260,42,1302
4.22.19 0:00,586,759,11156,800,420,962,148,5,153,9154,1408,47,1455
4.23.19 0:00,586,759,11151,800,419,962,148,5,153,10116,1555,52,1608
4.24.19 0:00,586,759,11154,800,420,962,148,5,153,11078,1703,58,1761
4.25.19 0:00,586,759,11154,800,420,962,148,5,153,12040,1851,63,1914
4.26.19 0:00,586,759,11155,800,420,962,148,5,153,13002,1998,68,2066
4.27.19 0:00,585,759,11156,801,422,962,148,5,153,13964,2146,73,2219
4.28.19 0:00,585,759,11157,801,422,962,148,5,153,14926,2294,78,2372
4.29.19 0:00,585,759,11157,801,422,962,149,4,153,15888,2443,82,2525
4.30.19 0:00,585,759,11157,801,422,962,149,4,153,16850,2592,86,2678
05.01.19 00:00,585,759,11157,801,422,854,142,3,145,17704,2734,89,2823
