Date,Well_Head_Pressure_(atm),Downhole_Gauge_Pressure_(atm),Downhole_Gauge_Pressure_(psi),BHFP_at_Top_Perf_(atm),WellBore_Dynamic_Fluid Density _(kg/m3),Daily_Gas_Production_(1000 m³/day),Daily_Condensate_Production_(ton/day),Daily_Water_Production_(ton/day),Daily_Liquid_Production_(ton/day),Total_Produced_Gas_(1000 m³),Total_Produced_Condensate_(ton),Total_Produced_Water_(ton),Total_Produced_Liquid_(ton),,,,
8.20.21 0:00,490,648,9520,675,385,807,115,3,118,807,115,3,118,,,,
8.21.21 0:00,528,683,10045,710,381,655,94,2,96,1462,209,6,214,,,,
8.22.21 0:00,522,678,9957,704,380,827,118,3,121,2289,327,9,335,,,,
8.23.21 0:00,519,673,9888,699,377,978,140,4,143,3267,466,12,479,,,,
8.24.21 0:00,522,676,9933,702,376,914,131,3,134,4181,597,16,613,,,,
8.25.21 0:00,522,675,9924,701,375,914,131,3,134,5095,727,19,747,,,,
8.26.21 0:00,522,675,9922,701,375,914,131,3,134,6009,858,23,881,,,,
8.27.21 0:00,522,675,9918,701,374,914,131,3,134,6923,989,26,1015,,,,
8.28.21 0:00,521,674,9911,700,375,914,131,3,134,7837,1119,29,1149,,,,
8.29.21 0:00,521,674,9907,700,375,914,131,3,134,8751,1250,33,1282,,,,
8.30.21 0:00,521,674,9899,699,373,914,131,3,134,9664,1380,36,1416,,,,
8.31.21 0:00,520,673,9892,699,374,914,131,3,134,10578,1511,40,1550,,,,
09.01.21 00:00,520,673,9893,699,375,925,134,4,138,11504,1645,43,1688,,,,
09.02.21 00:00,519,672,9880,698,374,925,134,4,138,12429,1779,47,1826,,,,
09.03.21 00:00,519,672,9873,698,374,925,134,4,138,13354,1913,50,1964,,,,
09.04.21 00:00,519,671,9867,697,373,925,134,4,138,14280,2047,54,2101,,,,
09.05.21 00:00,519,671,9861,697,372,925,134,4,138,15205,2182,57,2239,,,,
09.06.21 00:00,518,671,9857,697,373,925,134,4,138,16130,2316,61,2377,,,,
09.07.21 00:00,518,670,9852,696,373,925,134,4,138,17055,2450,65,2515,,,,
09.08.21 00:00,518,670,9847,696,372,925,134,4,138,17981,2584,68,2653,,,,
09.09.21 00:00,518,670,9843,696,371,925,134,4,138,18906,2719,72,2790,,,,
09.10.21 00:00,518,670,9840,695,372,925,134,4,138,19831,2853,75,2928,,,,
09.11.21 00:00,517,669,9835,695,372,925,134,4,138,20756,2987,79,3066,,,,
09.12.21 00:00,517,669,9831,695,372,925,134,4,138,21682,3121,82,3204,,,,
9.13.21 0:00,517,669,9827,694,371,925,134,4,138,22607,3256,86,3341,,,,
9.14.21 0:00,517,668,9824,694,370,925,134,4,138,23532,3390,89,3479,,,,
9.15.21 0:00,516,668,9820,694,371,925,134,4,138,24458,3524,93,3617,,,,
9.16.21 0:00,516,668,9817,694,372,925,134,4,138,25383,3658,96,3755,,,,
9.17.21 0:00,516,668,9814,694,371,925,134,4,138,26308,3793,100,3893,,,,
9.18.21 0:00,516,668,9811,693,371,925,134,4,138,27233,3927,103,4030,,,,
9.19.21 0:00,516,667,9807,693,370,925,134,4,138,28159,4061,107,4168,,,,
9.20.21 0:00,515,667,9803,693,371,925,134,4,138,29084,4195,111,4306,,,,
9.21.21 0:00,515,667,9800,693,371,925,134,4,138,30009,4330,114,4444,,,,
9.22.21 0:00,515,667,9797,692,371,925,134,4,138,30934,4464,118,4581,,,,
9.23.21 0:00,515,666,9793,692,370,925,134,4,138,31860,4598,121,4719,,,,
9.24.21 0:00,515,666,9791,692,370,925,134,4,138,32785,4732,125,4857,,,,
9.25.21 0:00,515,666,9788,692,370,925,134,4,138,33710,4867,128,4995,,,,
9.26.21 0:00,514,666,9784,691,371,925,134,4,138,34636,5001,132,5133,,,,
9.27.21 0:00,514,665,9780,691,370,925,134,4,138,35561,5135,135,5270,,,,
9.28.21 0:00,514,665,9775,691,370,925,134,4,138,36486,5269,139,5408,,,,
9.29.21 0:00,514,665,9774,691,369,925,134,4,138,37411,5403,142,5546,,,,
9.30.21 0:00,514,665,9775,691,370,925,134,4,138,38337,5538,146,5684,,,,
10.01.21 00:00,514,665,9774,691,369,897,133,4,137,39234,5671,149,5820,,,,
10.02.21 00:00,514,665,9771,690,369,897,133,4,137,40131,5804,153,5957,,,,
10.03.21 00:00,514,665,9769,690,369,897,133,4,137,41029,5938,156,6094,,,,
10.04.21 00:00,513,665,9766,690,370,921,137,6,142,41949,6074,162,6236,,,,
10.05.21 00:00,513,664,9764,690,370,921,137,4,140,42870,6211,166,6377,,,,
10.06.21 00:00,513,664,9762,690,370,921,137,4,140,43791,6348,169,6517,,,,
10.07.21 00:00,513,664,9760,690,370,921,137,4,140,44711,6484,173,6657,,,,
10.08.21 00:00,513,664,9758,690,369,921,137,4,140,45632,6621,177,6798,,,,
10.09.21 00:00,513,664,9756,689,369,921,137,4,140,46553,6758,180,6938,,,,
10.10.21 00:00,513,664,9754,689,369,921,137,4,140,47473,6895,184,7078,,,,
10.11.21 00:00,512,664,9752,689,370,944,140,4,144,48417,7035,187,7222,,,,
10.12.21 00:00,512,663,9750,689,370,944,140,4,144,49361,7175,191,7366,,,,
10.13.21 0:00,512,663,9748,689,370,944,140,4,144,50305,7315,195,7510,,,,
10.14.21 0:00,512,663,9747,689,370,944,140,4,144,51249,7455,199,7654,,,,
10.15.21 0:00,512,663,9744,689,369,944,140,4,144,52193,7596,202,7798,,,,
10.16.21 0:00,512,663,9743,689,369,944,140,4,144,53138,7736,206,7942,,,,
10.17.21 0:00,512,663,9742,688,369,944,140,4,144,54082,7876,210,8086,,,,
10.18.21 0:00,530,680,9994,705,367,497,74,2,76,54579,7950,212,8162,,,,
10.19.21 0:00,542,693,10191,719,370,0,0,0,0,54579,7950,212,8162,,,,
10.20.21 0:00,542,694,10203,720,372,0,0,0,0,54579,7950,212,8162,,,,
10.21.21 0:00,542,695,10211,721,374,0,0,0,0,54579,7950,212,8162,,,,
10.22.21 0:00,528,681,10013,707,375,551,82,2,84,55130,8032,214,8245,,,,
10.23.21 0:00,515,666,9793,692,371,873,130,3,133,56003,8161,217,8379,,,,
10.24.21 0:00,514,665,9780,691,370,897,133,4,137,56900,8295,221,8515,,,,
10.25.21 0:00,514,665,9773,691,369,897,133,4,137,57797,8428,224,8652,,,,
10.26.21 0:00,514,665,9770,690,369,897,133,4,137,58695,8561,228,8789,,,,
10.27.21 0:00,514,665,9766,690,368,897,133,4,137,59592,8694,231,8926,,,,
10.28.21 0:00,513,664,9761,690,370,921,137,4,140,60513,8831,235,9066,,,,
10.29.21 0:00,513,664,9758,690,369,921,137,4,140,61433,8968,238,9206,,,,
10.30.21 0:00,513,664,9756,689,369,921,137,4,140,62354,9105,242,9347,,,,
10.31.21 0:00,513,664,9752,689,368,921,137,4,140,63275,9241,246,9487,,,,
11.01.21 00:00,513,664,9754,689,368,897,132,3,135,64171,9373,249,9622,,,,
11.02.21 00:00,522,672,9876,698,367,748,110,3,113,64919,9483,252,9735,,,,
11.03.21 00:00,509,661,9709,686,371,951,140,4,143,65870,9623,256,9878,,,,
11.04.21 00:00,508,659,9689,685,370,975,143,6,149,66845,9766,262,10027,,,,
11.05.21 00:00,506,658,9675,684,372,993,146,4,150,67837,9912,265,10177,,,,
11.06.21 00:00,506,658,9670,684,372,998,147,4,150,68835,10058,269,10328,,,,
11.07.21 00:00,506,658,9667,683,371,1003,147,4,151,69838,10206,273,10479,,,,
11.08.21 00:00,506,658,9663,683,370,1007,148,4,152,70845,10354,277,10631,,,,
11.09.21 00:00,506,657,9660,683,370,1011,149,4,152,71856,10502,281,10783,,,,
11.10.21 00:00,506,657,9660,683,370,1011,149,4,152,72868,10651,285,10936,,,,
11.11.21 00:00,507,659,9678,684,371,989,145,4,149,73857,10796,289,11085,,,,
11.12.21 00:00,498,651,9564,677,373,1127,166,4,170,74984,10962,293,11255,,,,
11.13.21 0:00,473,632,9284,659,388,1468,216,6,221,76452,11177,299,11476,,,,
11.14.21 0:00,472,631,9272,658,388,1482,218,6,224,77935,11395,305,11700,,,,
11.15.21 0:00,472,631,9267,657,388,1489,219,6,224,79423,11614,310,11924,,,,
11.16.21 0:00,472,631,9266,657,388,1489,219,6,225,80913,11832,316,12149,,,,
11.17.21 0:00,470,628,9235,655,388,1528,224,6,230,82441,12057,322,12379,,,,
11.18.21 0:00,442,609,8943,637,407,1882,277,7,284,84323,12333,329,12663,,,,
11.19.21 0:00,440,607,8916,635,408,1915,281,7,289,86238,12615,337,12952,,,,
11.20.21 0:00,440,606,8906,634,407,1928,283,7,291,88166,12898,344,13242,,,,
11.21.21 0:00,439,605,8896,634,407,1940,285,8,292,90106,13183,352,13535,,,,
11.22.21 0:00,438,605,8886,633,407,1952,287,8,294,92057,13470,359,13829,,,,
11.23.21 0:00,438,604,8876,632,406,1964,288,8,296,94021,13758,367,14125,,,,
11.24.21 0:00,437,603,8868,632,406,1974,290,8,298,95995,14048,374,14423,,,,
11.25.21 0:00,437,603,8860,631,406,1984,291,8,299,97979,14340,382,14722,,,,
11.26.21 0:00,437,602,8852,630,405,1993,293,8,300,99972,14632,390,15022,,,,
11.27.21 0:00,436,602,8843,630,405,2004,294,8,302,101976,14927,398,15324,,,,
11.28.21 0:00,436,601,8834,629,404,2016,296,8,304,103992,15223,405,15628,,,,
11.29.21 0:00,435,600,8825,629,405,2027,298,8,306,106019,15521,413,15934,,,,
11.30.21 0:00,441,605,8891,633,400,1946,286,8,293,107965,15807,421,16227,,,,
12.01.21 00:00,496,647,9506,672,368,1114,170,4,174,109079,15976,425,16401,,,,
12.02.21 00:00,500,650,9554,676,367,1059,161,4,165,110138,16137,430,16567,,,,
12.03.21 00:00,500,651,9571,677,369,1039,158,4,162,111176,16295,434,16729,,,,
12.04.21 00:00,501,652,9577,677,368,1031,157,7,163,112207,16452,440,16893,,,,
12.05.21 00:00,501,652,9582,678,369,1025,156,4,160,113233,16608,444,17053,,,,
12.06.21 00:00,501,652,9586,678,370,1020,155,4,159,114253,16764,448,17212,,,,
12.07.21 00:00,502,653,9590,678,368,1016,155,4,159,115269,16918,453,17371,,,,
12.08.21 00:00,502,653,9592,678,369,1014,154,4,158,116283,17073,457,17529,,,,
12.09.21 00:00,502,653,9596,678,368,1010,154,4,158,117293,17226,461,17687,,,,
12.10.21 00:00,503,653,9598,679,367,1007,153,4,157,118300,17380,465,17844,,,,
12.11.21 00:00,503,653,9600,679,367,1004,153,4,157,119304,17532,469,18001,,,,
12.12.21 00:00,503,653,9602,679,368,1002,153,4,157,120306,17685,473,18158,,,,
12.13.21 0:00,503,653,9604,679,368,1000,152,4,156,121306,17837,477,18314,,,,
12.14.21 0:00,503,654,9605,679,368,999,152,4,156,122304,17989,481,18470,,,,
12.15.21 0:00,516,666,9783,691,365,792,120,3,124,123096,18110,484,18594,,,,
12.16.21 0:00,535,684,10052,709,365,0,0,0,0,123096,18110,484,18594,,,,
12.17.21 0:00,534,685,10066,711,369,0,0,0,0,123096,18110,484,18594,,,,
12.18.21 0:00,534,686,10076,711,371,0,0,0,0,123096,18110,484,18594,,,,
12.19.21 0:00,534,686,10084,712,372,0,0,0,0,123096,18110,484,18594,,,,
12.20.21 0:00,534,687,10092,713,373,0,0,0,0,123096,18110,484,18594,,,,
12.21.21 0:00,534,687,10098,713,374,0,0,0,0,123096,18110,484,18594,,,,
12.22.21 0:00,534,688,10104,714,375,0,0,0,0,123096,18110,484,18594,,,,
12.23.21 0:00,534,688,10109,714,376,0,0,0,0,123096,18110,484,18594,,,,
